channel,0.5-4.0Hz_dB,4.0-8.0Hz_dB,8.0-12.0Hz_dB,12.0-30.0Hz_dB,30.0-70.0Hz_dB,70.0-150.0Hz_dB
aH_L3,29.137224036539784,26.52477719343804,17.085166609215754,8.862045596033358,-3.648473372025004,-14.683996012396893
aH_L7,28.226143184154257,27.95024069653882,17.809847580529958,8.044169713319379,-8.079211521410123,-16.82404366833552
aH_L8,28.442864166910677,28.339281211206103,18.462553682428815,8.597298924355776,-7.519201252589245,-16.393439252608648
aH_L9,28.907658202578464,28.5757075610709,19.014015419816943,9.055775719600206,-7.061464228593846,-15.963832416502191
aH_R1,29.02409248170375,25.08491880182264,17.200703529873955,9.675407520979887,-3.4633236219161745,-14.594505240922041
aH_R10,33.98566016227555,29.126917304277136,18.601908867469067,9.244029744476178,-8.01097840184218,-17.957968526263365
aH_R12,36.66105509895134,29.89406457374075,19.465734915475956,9.877536571083994,-6.911494183199854,-13.437280043519788
aH_R13,33.303052301806936,25.438131586105342,16.000271753261284,7.985186653911059,-3.546793920181237,-5.92416660407944
aH_R2,29.79570141183715,25.126896636744824,16.906334387598818,9.607208260271692,-3.026245367702748,-13.670994068687758
aH_R3,28.217792741789292,24.491724043780522,16.72281776040778,9.631224820380606,-3.07504075837014,-14.82157756991414
aH_R4,27.14394703126377,24.382428789679828,16.157679243229843,8.697822805846387,-5.657120578978156,-16.636174608021957
aH_R5,26.57267640491108,24.40001512472721,15.721510998019118,7.9635821800396185,-7.80750486412077,-18.654971746144383
aH_R6,25.81939636650772,24.618734154588513,15.491466269697302,7.586330030840494,-9.125094875321619,-19.900278634848867
aH_R7,26.02892281922445,25.020979799465586,15.43423184599276,7.8033362329536295,-9.250443705978643,-20.024542040651017
aH_R9,31.330034756905214,27.094150110144817,17.2283732235337,8.711858317618404,-7.433590293240139,-17.284777407215635
aI_R1,28.507666504278607,25.643344574261768,16.372237583470227,8.598957152835764,-7.071306873897251,-18.472124577832528
aI_R17,31.3088280168815,31.46432157575984,23.753803567754545,14.171893159651075,-1.535527526459664,-14.038513660886796
aI_R18,32.66319935596929,29.386102206942255,21.942914653709327,12.41310585119628,-2.4292549027051322,-14.024073856307968
aI_R2,28.282025353987674,25.27293720223974,15.699657992156617,8.488994656773265,-6.382581634708917,-16.97054002623205
aI_R3,29.027731355317478,25.75891544179489,16.870338195661468,8.733857359486201,-7.673755863000457,-19.226769505980705
aI_R4,28.50160873513067,25.75337445684696,17.278856138823365,9.21217628550733,-7.189666982480384,-19.055679635377267
aI_R5,28.53959153242991,25.85309792892058,17.261832413630422,9.524849151700648,-6.23345559135958,-18.11021695443589
aI_R6,28.381944805397815,25.076791841338448,16.379809237864606,9.00293151436719,-5.985027202811189,-17.542606441425605
aI_R7,27.97152349258523,24.458461416186296,15.217402483809233,7.81592964640999,-8.446055167828316,-19.1309189014095
aI_R8,28.069327625613187,24.56038696613166,15.227616324453106,7.623512661089639,-9.906911152963886,-21.050976871427196
iNH_R1,28.19085878031322,25.299658191327314,15.694346851113307,7.69194759954229,-7.715623532169663,-17.165961037287236
iNH_R10,27.82904573078665,26.29315494748002,17.520567072397846,8.835508985431444,-5.497473076873573,-15.515787190918763
iNH_R11,28.0542987882398,26.504601127876164,18.4550896843649,9.532381018918281,-5.996062858776054,-15.92901068063845
iNH_R12,27.976291847869483,26.67344843232471,18.281805338065425,8.527680530557673,-7.019752624578812,-16.691894858738642
iNH_R17,32.49504349134069,30.540836084173694,22.430332023684848,11.389688624831642,-4.409336203544925,-14.74967175593341
iNH_R18,29.296521660424002,27.028414500073396,19.228659304811792,9.723522545293859,-5.611988932902525,-15.399281958118129
