band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
4,20.0,30.0,20-30Hz,232,ersp,0.0001310928033876232,0.0001310928033876232
4,20.0,30.0,20-30Hz,233,ersp,0.00014170088387885463,0.00014170088387885463
4,20.0,30.0,20-30Hz,234,ersp,0.00010162692826759181,0.00010162692826759181
4,20.0,30.0,20-30Hz,235,ersp,7.38216905883114e-05,7.38216905883114e-05
4,20.0,30.0,20-30Hz,236,ersp,0.00020794858268015706,0.00020794858268015706
4,20.0,30.0,20-30Hz,237,ersp,0.0001551320746958998,0.0001551320746958998
4,20.0,30.0,20-30Hz,238,ersp,0.00017034815352390696,0.00017034815352390696
4,20.0,30.0,20-30Hz,239,ersp,0.00012671315693561455,0.00012671315693561455
4,20.0,30.0,20-30Hz,240,ersp,1.7658424770746662e-05,1.7658424770746662e-05
4,20.0,30.0,20-30Hz,241,ersp,0.00017430268866182357,0.00017430268866182357
4,20.0,30.0,20-30Hz,242,ersp,6.969476893524329e-05,6.969476893524329e-05
4,20.0,30.0,20-30Hz,243,ersp,0.00010190963372749803,0.00010190963372749803
4,20.0,30.0,20-30Hz,244,ersp,0.00011325627252882206,0.00011325627252882206
4,20.0,30.0,20-30Hz,245,ersp,0.0001014231394170773,0.0001014231394170773
4,20.0,30.0,20-30Hz,246,ersp,0.00018396545912938245,0.00018396545912938245
4,20.0,30.0,20-30Hz,247,ersp,8.130598926998866e-05,8.130598926998866e-05
4,20.0,30.0,20-30Hz,248,ersp,0.0001608626897117102,0.0001608626897117102
4,20.0,30.0,20-30Hz,249,ersp,0.00013001691421769896,0.00013001691421769896
4,20.0,30.0,20-30Hz,250,ersp,8.37349103328453e-05,8.37349103328453e-05
4,20.0,30.0,20-30Hz,251,ersp,7.901678867720216e-05,7.901678867720216e-05
4,20.0,30.0,20-30Hz,252,ersp,4.078925360996497e-05,4.078925360996497e-05
4,20.0,30.0,20-30Hz,253,ersp,0.00014592728902643504,0.00014592728902643504
4,20.0,30.0,20-30Hz,254,ersp,6.330556847997763e-05,6.330556847997763e-05
4,20.0,30.0,20-30Hz,255,ersp,0.00013102192552384755,0.00013102192552384755
4,20.0,30.0,20-30Hz,256,ersp,7.036287521972904e-05,7.036287521972904e-05
4,20.0,30.0,20-30Hz,257,ersp,6.63370335085557e-05,6.63370335085557e-05
4,20.0,30.0,20-30Hz,258,ersp,0.0001585865768898308,0.0001585865768898308
4,20.0,30.0,20-30Hz,259,ersp,5.775364033647932e-05,5.775364033647932e-05
4,20.0,30.0,20-30Hz,260,ersp,0.000137734905762222,0.000137734905762222
4,20.0,30.0,20-30Hz,261,ersp,0.00025621115735095345,0.00025621115735095345
4,20.0,30.0,20-30Hz,262,ersp,0.00020984789565006105,0.00020984789565006105
4,20.0,30.0,20-30Hz,263,ersp,0.00010272640198684273,0.00010272640198684273
4,20.0,30.0,20-30Hz,264,ersp,0.00014301258505300136,0.00014301258505300136
4,20.0,30.0,20-30Hz,265,ersp,9.171504730109869e-05,9.171504730109869e-05
4,20.0,30.0,20-30Hz,266,ersp,0.00010693046184739756,0.00010693046184739756
4,20.0,30.0,20-30Hz,267,ersp,0.00012958159741433307,0.00012958159741433307
4,20.0,30.0,20-30Hz,268,ersp,0.00011976176747102984,0.00011976176747102984
4,20.0,30.0,20-30Hz,269,ersp,0.00026236740407668255,0.00026236740407668255
4,20.0,30.0,20-30Hz,270,ersp,0.00020493826253412448,0.00020493826253412448
4,20.0,30.0,20-30Hz,271,ersp,0.00011731991856806252,0.00011731991856806252
4,20.0,30.0,20-30Hz,272,ersp,0.00014903480481107015,0.00014903480481107015
4,20.0,30.0,20-30Hz,273,ersp,0.00013507779981480685,0.00013507779981480685
4,20.0,30.0,20-30Hz,274,ersp,0.00023740829313162893,0.00023740829313162893
4,20.0,30.0,20-30Hz,275,ersp,0.00014266908794662708,0.00014266908794662708
4,20.0,30.0,20-30Hz,276,ersp,9.733756947340233e-05,9.733756947340233e-05
4,20.0,30.0,20-30Hz,277,ersp,0.00013798039060708962,0.00013798039060708962
4,20.0,30.0,20-30Hz,278,ersp,3.140597516917728e-05,3.140597516917728e-05
4,20.0,30.0,20-30Hz,279,ersp,4.9039380101141306e-05,4.9039380101141306e-05
4,20.0,30.0,20-30Hz,280,ersp,7.157011439187212e-05,7.157011439187212e-05
4,20.0,30.0,20-30Hz,281,ersp,8.699108946074832e-05,8.699108946074832e-05
4,20.0,30.0,20-30Hz,282,ersp,4.8897562923463956e-05,4.8897562923463956e-05
4,20.0,30.0,20-30Hz,283,ersp,5.094750742166859e-05,5.094750742166859e-05
4,20.0,30.0,20-30Hz,284,ersp,0.00014417083414787173,0.00014417083414787173
4,20.0,30.0,20-30Hz,285,ersp,8.568991856853821e-05,8.568991856853821e-05
4,20.0,30.0,20-30Hz,286,ersp,0.00010304957385326108,0.00010304957385326108
4,20.0,30.0,20-30Hz,287,ersp,0.000165021029482132,0.000165021029482132
4,20.0,30.0,20-30Hz,288,ersp,0.00015416918230710348,0.00015416918230710348
4,20.0,30.0,20-30Hz,289,ersp,0.00017094856663128974,0.00017094856663128974
4,20.0,30.0,20-30Hz,290,ersp,0.00021943261082424192,0.00021943261082424192
4,20.0,30.0,20-30Hz,291,ersp,0.0005339848549544811,0.0005339848549544811
4,20.0,30.0,20-30Hz,292,ersp,0.0002873377842647077,0.0002873377842647077
4,20.0,30.0,20-30Hz,293,ersp,0.0002169718923444557,0.0002169718923444557
4,20.0,30.0,20-30Hz,294,ersp,0.0002406320670759852,0.0002406320670759852
