condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
picture,6,50.0,70.0,50-70Hz,24,ersp,0.0005224443182018137,0.0005116864559589152,0.00047504633480597647,0.0005116864559589152
picture,6,50.0,70.0,50-70Hz,25,ersp,0.00041118037067362686,-0.00045905839649830195,0.0004923894577380649,0.0
picture,6,50.0,70.0,50-70Hz,26,ersp,0.0002546737732780753,-0.0001547987616098645,0.0001263926595863005,0.0
picture,6,50.0,70.0,50-70Hz,27,ersp,0.0009424750771134953,0.0014205640685356125,0.00118330117217179,0.0014205640685356125
picture,6,50.0,70.0,50-70Hz,28,ersp,0.0008380750512555319,0.0002477980176158523,0.0005652709505003349,0.0002477980176158523
picture,6,50.0,70.0,50-70Hz,29,ersp,0.0005542002943045331,4.788826961101833e-05,0.0003534516873164832,4.788826961101833e-05
picture,7,70.0,100.0,70-100Hz,0,ersp,0.00022656648664368332,0.0,0.0,0.0
picture,7,70.0,100.0,70-100Hz,1,ersp,0.0009771327773672183,0.0,0.0,0.0
picture,7,70.0,100.0,70-100Hz,2,ersp,0.0005048130415554002,0.0009363525091798941,0.0006751078269740813,0.0009363525091798941
picture,7,70.0,100.0,70-100Hz,3,ersp,0.002551939129608586,0.0007717102016577493,0.0008423127420766695,0.0007717102016577493
picture,7,70.0,100.0,70-100Hz,4,ersp,0.003660839331728809,-0.00017089042314584192,0.0006990607985962208,0.0
picture,7,70.0,100.0,70-100Hz,5,ersp,0.004510920945331295,0.001185209902541673,0.0011918497445679223,0.001185209902541673
picture,7,70.0,100.0,70-100Hz,6,ersp,0.0021858477998097556,0.000623009564813437,0.0005427821451284997,0.000623009564813437
picture,7,70.0,100.0,70-100Hz,7,ersp,0.0009838233431634094,0.0005701187267213803,0.0006257251427343531,0.0005701187267213803
picture,7,70.0,100.0,70-100Hz,8,ersp,0.000895792252411851,-3.7109292166737086e-05,0.00018661375446692836,0.0
picture,7,70.0,100.0,70-100Hz,9,ersp,0.0020769326770055116,0.000505110479664106,0.0002100627573354344,0.000505110479664106
picture,7,70.0,100.0,70-100Hz,10,ersp,0.0015627597578989768,0.00012928248222365823,0.00025856496444731647,0.00012928248222365823
picture,7,70.0,100.0,70-100Hz,11,ersp,0.002214640872184364,0.0003544357852034108,0.0005721220329872235,0.0003544357852034108
picture,7,70.0,100.0,70-100Hz,12,ersp,0.0009148171931483941,-0.001069283753422323,0.0012494334126250289,0.0
picture,7,70.0,100.0,70-100Hz,13,ersp,0.0007887132100571018,4.5698944753280736e-05,0.00024916099160098845,4.5698944753280736e-05
picture,7,70.0,100.0,70-100Hz,14,ersp,0.0005607263705017117,0.0010297117623058849,0.0007195706088057041,0.0010297117623058849
picture,7,70.0,100.0,70-100Hz,15,ersp,0.00042473105856762267,-0.0005198516653624919,0.0002531946458992739,0.0
picture,7,70.0,100.0,70-100Hz,16,ersp,0.00044116606580829365,0.00046749343322421977,0.0006881198403177877,0.00046749343322421977
picture,7,70.0,100.0,70-100Hz,17,ersp,0.00017735168138830834,0.0,0.0,0.0
picture,7,70.0,100.0,70-100Hz,18,ersp,0.000324838323079264,6.361592942916161e-06,0.00020605917248202476,6.361592942916161e-06
picture,7,70.0,100.0,70-100Hz,19,ersp,0.00032677142184543245,-0.0001367989056087593,0.0004103967168262779,0.0
picture,7,70.0,100.0,70-100Hz,20,ersp,0.0003410871304790437,0.0008321709250502018,0.0002837508170251632,0.0008321709250502018
picture,7,70.0,100.0,70-100Hz,21,ersp,0.00036401681622710256,0.00023219814241490778,0.00035468852128142555,0.00023219814241490778
picture,7,70.0,100.0,70-100Hz,22,ersp,0.0005767977617888356,-0.0004943184313707993,0.0005624901137574265,0.0
picture,7,70.0,100.0,70-100Hz,23,ersp,0.0017712351332337133,0.0006644313065576335,0.001001032752044964,0.0006644313065576335
picture,7,70.0,100.0,70-100Hz,24,ersp,0.0022820357711660928,0.0011866180133237147,0.0014041154686173143,0.0011866180133237147
picture,7,70.0,100.0,70-100Hz,25,ersp,0.0008192230615902928,0.0011309870870029105,0.0009564637125620041,0.0011309870870029105
picture,7,70.0,100.0,70-100Hz,26,ersp,0.0005695106547390866,0.0010546837558161547,0.0007591228305591197,0.0010546837558161547
picture,7,70.0,100.0,70-100Hz,27,ersp,0.0004404849198445222,0.00029411764705886687,0.00031560224320689305,0.00029411764705886687
picture,7,70.0,100.0,70-100Hz,28,ersp,0.00011217978429670199,0.0,0.0,0.0
picture,7,70.0,100.0,70-100Hz,29,ersp,0.0007299552181769679,0.0004524886877828038,0.0004139058977008937,0.0004524886877828038
picture,8,100.0,130.0,100-130Hz,0,ersp,0.0014279935525335322,0.0007771396507135764,0.00030566566795107796,0.0007771396507135764
picture,8,100.0,130.0,100-130Hz,1,ersp,0.0017653199614912878,5.159958720331037e-05,0.00010319917440662074,5.159958720331037e-05
picture,8,100.0,130.0,100-130Hz,2,ersp,0.0031647673990633273,0.0003195783796969165,0.0005786575844679907,0.0003195783796969165
picture,8,100.0,130.0,100-130Hz,3,ersp,0.003673777093444419,0.0007304430558414899,0.0009058219706378868,0.0007304430558414899
picture,8,100.0,130.0,100-130Hz,4,ersp,0.0032902756222461587,0.0006585790456834939,0.0007171578111668263,0.0006585790456834939
picture,8,100.0,130.0,100-130Hz,5,ersp,0.003823686678238831,-0.00028341993386865605,0.0005524743826392458,0.0
picture,8,100.0,130.0,100-130Hz,6,ersp,0.0031323584720523894,0.00037886820193111514,0.0005097607305760491,0.00037886820193111514
picture,8,100.0,130.0,100-130Hz,7,ersp,0.005315481759950195,0.00025491157815453746,0.0005549324233946848,0.00025491157815453746
picture,8,100.0,130.0,100-130Hz,8,ersp,0.0025766313801135594,0.00028808810625403637,0.0004935439087668321,0.00028808810625403637
picture,8,100.0,130.0,100-130Hz,9,ersp,0.002129838791002309,0.0015028069089580653,0.0004580455859564038,0.0015028069089580653
picture,8,100.0,130.0,100-130Hz,10,ersp,0.0007688892114513884,0.0002735978112174964,0.0005471956224349928,0.0002735978112174964
picture,8,100.0,130.0,100-130Hz,11,ersp,0.002594891416577094,3.6119711042326144e-05,0.00020902610010866996,3.6119711042326144e-05
picture,8,100.0,130.0,100-130Hz,12,ersp,0.0013421185040450553,0.0005057959536323931,0.00043467695692659916,0.0005057959536323931
picture,8,100.0,130.0,100-130Hz,13,ersp,0.0006025426482185311,0.0003818369453044923,0.00032240452738522586,0.0003818369453044923
picture,8,100.0,130.0,100-130Hz,14,ersp,0.0006426632825751621,2.8351421543781896e-07,0.00028895773840966415,2.8351421543781896e-07
picture,8,100.0,130.0,100-130Hz,15,ersp,0.0003605429413661375,0.0,0.0,0.0
picture,8,100.0,130.0,100-130Hz,16,ersp,0.00038892155814077483,0.00019392372333548735,0.0005048642324438673,0.00019392372333548735
picture,8,100.0,130.0,100-130Hz,17,ersp,0.0003443231473966798,0.0004901960784314153,0.0003715528591825456,0.0004901960784314153
picture,8,100.0,130.0,100-130Hz,18,ersp,0.00033333051072466824,0.0,0.0,0.0
picture,8,100.0,130.0,100-130Hz,19,ersp,0.00040814149920379066,0.0003232062055591456,0.0003232062055591456,0.0003232062055591456
picture,8,100.0,130.0,100-130Hz,20,ersp,0.0004805194387120077,-0.000321802321375253,0.0006070452000962347,0.0
