sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
280,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
281,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
282,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
283,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
284,2,2,0,5,10,11,5,4,12,12,1,15,11,2,4
285,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
286,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
287,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
288,2,2,0,5,10,0,2,2,2,1,4,5,1,19,0
289,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
290,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
291,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
292,0,0,3,2,1,5,2,2,3,6,6,5,1,19,5
293,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
294,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
295,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
296,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
297,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
298,0,0,3,2,1,0,2,2,3,1,4,5,1,19,5
299,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
300,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
301,0,0,3,2,1,0,2,2,3,1,6,5,1,19,5
302,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
303,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
304,2,2,0,5,10,0,2,4,12,12,1,5,9,19,0
305,0,0,3,2,1,5,2,2,3,6,6,5,1,19,5
306,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
307,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
308,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
309,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
310,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
311,0,0,3,2,1,5,0,2,3,6,6,5,1,4,5
312,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
313,2,2,0,5,10,0,2,6,2,1,4,4,11,19,0
314,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
315,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
316,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
317,2,2,0,5,10,0,2,2,12,6,6,5,1,19,0
318,2,2,0,5,10,0,2,4,12,12,1,15,11,19,0
319,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
320,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
321,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
322,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
323,0,2,3,2,1,5,0,0,7,12,6,5,0,0,3
324,2,2,0,5,10,0,2,4,12,12,1,5,17,2,0
325,2,2,0,5,10,0,2,4,12,12,1,15,11,2,0
326,2,2,0,5,10,0,2,4,12,12,1,5,9,2,3
327,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
328,2,2,0,5,10,11,5,4,12,12,1,15,9,2,4
329,1,1,1,3,0,1,10,3,1,3,2,1,3,1,1
330,2,2,0,5,10,0,2,4,2,1,4,4,11,19,0
331,2,2,0,5,10,0,2,4,2,1,4,15,11,2,0
332,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
333,0,0,3,2,1,5,0,2,3,6,6,5,1,19,5
334,0,0,3,2,1,5,0,2,3,6,6,5,1,19,3
335,1,1,1,3,0,11,5,4,1,3,2,1,9,2,4
