k,row_fold,col_fold,err,var_explained
16,1,1,0.4583374172864807,0.5416625827135193
16,1,2,0.4267041294656506,0.5732958705343494
16,1,3,0.4360308949504231,0.563969105049577
16,2,0,0.4735559340978307,0.5264440659021693
16,2,1,0.48143330020995717,0.5185666997900429
16,2,2,0.461453923341343,0.538546076658657
16,2,3,0.46427238780929003,0.53572761219071
16,3,0,0.4649948826077681,0.5350051173922319
16,3,1,0.4680300841877421,0.5319699158122579
16,3,2,0.44739664376677335,0.5526033562332267
16,3,3,0.4474819845193428,0.5525180154806573
