sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
54,2,0,3,6,2,5,1,8,1,9,0,0,14,10,13,13,14,7,3,20,14,7,2,7,4,7
55,2,0,3,6,4,5,8,4,10,2,0,0,14,11,13,13,14,7,3,20,14,7,2,7,4,7
56,4,4,3,6,4,5,8,4,10,10,11,0,14,4,13,5,18,12,20,12,15,7,14,10,11,16
57,4,4,2,0,3,5,5,9,10,10,11,0,14,4,13,5,18,12,20,12,15,7,14,10,11,16
58,2,2,3,6,4,8,7,4,10,4,0,0,14,4,13,11,14,7,3,12,14,7,14,10,11,7
59,1,5,1,1,5,1,9,3,11,10,9,8,5,4,15,5,16,19,15,2,0,22,19,11,12,16
60,1,5,2,0,3,6,5,9,8,1,14,10,15,0,11,8,13,6,13,19,16,17,26,5,7,15
61,1,4,2,0,3,6,5,9,8,1,14,10,15,12,11,8,13,6,13,19,23,17,26,5,21,15
62,1,4,2,0,8,4,2,11,4,1,14,3,15,12,11,8,13,6,13,19,23,17,26,5,21,15
63,0,1,0,3,8,4,2,11,4,1,14,13,15,12,11,8,13,6,13,19,23,0,26,5,21,15
64,0,1,0,3,2,0,1,0,1,1,0,13,15,10,11,13,13,6,3,19,23,0,26,7,4,7
65,0,1,0,3,2,0,1,0,1,1,0,13,13,10,1,13,13,7,3,20,23,0,2,7,4,7
66,4,5,1,1,5,1,9,3,11,10,11,0,5,4,9,5,16,19,15,12,0,18,14,11,12,16
67,1,5,1,1,5,1,9,3,11,10,11,8,5,4,15,5,16,19,15,2,0,22,19,11,12,16
68,1,5,1,1,5,1,9,3,11,10,9,8,5,4,15,5,16,19,15,2,0,18,19,1,12,16
69,3,3,5,2,0,5,4,1,10,5,0,0,14,4,13,5,14,7,3,20,14,7,14,10,4,7
70,2,0,3,6,4,8,8,4,7,2,0,0,14,9,7,11,3,13,17,12,7,7,14,10,20,13
71,2,0,3,6,4,8,8,4,7,2,0,2,12,9,7,11,14,7,3,20,14,12,23,7,4,7
72,0,1,0,3,2,0,1,0,1,6,0,13,13,10,17,13,14,7,3,20,14,0,2,7,4,7
73,0,1,0,3,2,0,1,0,1,6,0,13,13,10,17,13,14,7,3,20,14,0,2,7,4,7
74,2,0,3,6,4,8,8,4,7,4,12,2,12,9,7,11,5,11,22,11,7,25,4,27,20,13
75,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
76,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
77,2,0,3,6,4,8,8,8,7,9,8,2,4,2,13,16,4,20,0,5,1,19,12,6,18,12
78,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
79,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
80,2,0,0,3,2,8,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
81,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
82,0,1,0,3,2,0,1,8,1,9,8,1,4,2,1,16,4,20,0,5,1,19,12,6,18,12
