k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
17,6,reading,62,6.166666666666667,True,suppression,6.166666666666667,50.166666666666664,True,52.49999999999999,-1.6061162966033142,42.49999999999999,-1.2897302546808798,52.49999999999999,-1.6061162966033142,-0.7372605983994248,-0.7116134015014658
17,7,audio,24,2.833333333333333,True,activation,2.833333333333333,50.166666666666664,True,4.166666666666667,1.220328497234732,4.166666666666667,1.220328497234732,56.49999999999999,0.9692560912420353,0.3750912571063297,0.5091492490265955
17,7,picture,24,4.833333333333333,True,activation,4.833333333333333,50.166666666666664,True,9.499999999999998,2.804927629729112,9.499999999999998,2.804927629729112,54.83333333333333,1.5122486998637517,1.254151722551865,0.6749980708047547
17,7,reading,24,1.5,True,activation,1.5,54.49999999999999,False,2.4999999999999996,1.7872137568580608,2.4999999999999996,1.7872137568580608,62.83333333333333,0.853051100547115,0.040041974836776725,0.16994725707498015
17,8,audio,67,32.49999999999999,True,activation,32.49999999999999,56.166666666666664,False,73.83333333333333,3.156862150377302,39.49999999999999,-0.6621314278845467,73.83333333333333,3.156862150377302,0.7607786050180768,1.7623997721124254
17,8,picture,67,56.49999999999999,True,activation,,56.49999999999999,False,74.83333333333333,3.297736658978818,5.166666666666667,-0.2667782647507404,74.83333333333333,3.297736658978818,0.9784070201068673,1.9514175775708729
17,8,reading,67,2.1666666666666665,True,activation,2.1666666666666665,57.83333333333333,False,75.83333333333333,3.034667943840596,2.4999999999999996,1.1057712686206422,75.83333333333333,3.034667943840596,0.9272616305490353,1.7206621948898897
17,9,audio,163,2.4999999999999996,True,activation,2.4999999999999996,63.166666666666664,False,4.5,1.560048038208503,4.5,1.560048038208503,77.83333333333333,1.0215508113472374,0.6327492098713005,0.6099779861241459
17,9,picture,163,65.83333333333333,True,activation,,65.83333333333333,False,82.5,0.8002191203892048,49.49999999999999,-0.25053223558170207,82.5,0.8002191203892048,0.1417976922431039,0.41392206864312125
17,9,reading,163,72.16666666666667,True,activation,,72.16666666666667,False,82.5,0.7854605768207301,34.166666666666664,-0.23827614780953596,82.5,0.7854605768207301,0.10626627873539322,0.331770656095169
17,10,audio,3,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,43.166666666666664,-8.63192621866862,43.166666666666664,-8.63192621866862,52.83333333333333,-7.953717867533366,-4.399192234537848,-4.203574111130503
17,10,picture,3,3.1666666666666665,True,suppression,3.1666666666666665,50.166666666666664,True,63.166666666666664,-4.392620325088501,46.49999999999999,-2.53843887646993,63.166666666666664,-4.392620325088501,-1.0882800459737576,-0.5307526757236981
17,10,reading,3,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,68.16666666666667,-6.125654379526774,49.83333333333333,-3.815655787785848,68.16666666666667,-6.125654379526774,-2.3187914479585987,-2.975449696199761
17,11,audio,73,38.49999999999999,True,activation,38.49999999999999,58.49999999999999,False,75.83333333333333,2.172211229801178,40.49999999999999,-0.5760802729693177,75.83333333333333,2.172211229801178,0.558897053658958,1.315433381361917
17,11,picture,73,57.166666666666664,True,activation,,57.166666666666664,False,74.83333333333333,1.7944353218764475,49.49999999999999,-0.43899277061517417,74.83333333333333,1.7944353218764475,0.4135543056031858,1.0479788207094496
17,11,reading,73,8.166666666666666,True,activation,8.166666666666666,50.166666666666664,True,71.83333333333333,1.1817210698372698,47.166666666666664,-1.1518918783850458,71.83333333333333,1.1817210698372698,-0.13250420584410752,0.3369615864840476
17,12,audio,27,11.166666666666666,True,activation,11.166666666666666,54.83333333333333,False,87.83333333333333,1.3699054055743747,18.833333333333332,-0.8661813884973526,87.83333333333333,1.3699054055743747,0.09267081208991125,0.3918777228420296
17,12,picture,27,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,64.83333333333333,-1.3907768660121493,20.5,-1.3832387358502105,64.83333333333333,-1.3907768660121493,-0.6737334611347021,-0.5412929929220811
17,12,reading,27,0.16666666666666666,True,suppression,0.16666666666666666,50.166666666666664,True,45.49999999999999,-2.2855076834007546,45.49999999999999,-2.2855076834007546,53.83333333333333,-2.0934818265614688,-1.2330925771766947,-1.0431237790683847
17,13,audio,6,1.5,True,activation,1.5,51.166666666666664,False,4.166666666666667,2.733410353461901,4.166666666666667,2.733410353461901,59.166666666666664,2.015624870856603,0.628737380344343,0.6467293083828151
17,13,picture,6,2.833333333333333,True,activation,2.833333333333333,50.166666666666664,True,11.166666666666666,6.175113995869954,11.166666666666666,6.175113995869954,51.83333333333333,3.2767388820648193,2.583126524200391,0.7588541232544878
