condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[7Networks_1],coef[7Networks_2],coef[7Networks_3],coef[7Networks_4],coef[7Networks_5],coef[7Networks_6],coef[7Networks_7],importance
audio,-1,70.0,150.0,HG 70-150Hz,290,hg,-0.043895952205440396,0.05100084140045826,0.1299825328097324,-0.030677057425340555,0.09395666621075621,-0.14583673343282583,-0.05453029735733877,0.07855429726312749
audio,-1,70.0,150.0,HG 70-150Hz,291,hg,-0.06915898335260423,0.03718784400155182,0.13280918406207406,-0.004605288833129716,0.07935735886846927,-0.246912491803566,0.07132237705720366,0.09162193256837126
audio,-1,70.0,150.0,HG 70-150Hz,292,hg,-0.06897570515337362,0.040412217345976276,0.08309373544951824,-0.013655329182188742,-0.030660551014475946,-0.043989612320071654,0.03377524487461468,0.04493748504860274
audio,-1,70.0,150.0,HG 70-150Hz,293,hg,-0.06094279557385983,0.013321449456675795,0.19880158550453433,-0.012047107585199281,-0.1889223543890657,0.060870481419030106,-0.011081258832116558,0.07799814753721165
audio,-1,70.0,150.0,HG 70-150Hz,294,hg,-0.06805705768734252,-0.02408079005325596,0.1452161699614445,-0.08513159995414964,-0.06797157591105725,0.05314068900713693,0.046884164637223245,0.07006886388737286
audio,-1,70.0,150.0,HG 70-150Hz,295,hg,-0.027988308575208547,0.06731489022351425,0.08102795864918634,-0.032022369350643946,-0.004691485208675352,-0.05848656484215321,-0.025154120896019278,0.042383671106485846
audio,-1,70.0,150.0,HG 70-150Hz,296,hg,-0.010138264758224762,0.07722666973350824,-0.04429284111406217,0.06100883976325999,-0.04850897858172295,-0.06844730716539082,0.033151882122632356,0.04896782617697162
audio,-1,70.0,150.0,HG 70-150Hz,297,hg,0.01593029551839036,0.05484483790948684,-0.06139617603081743,0.04232958186966631,-0.054779835901372836,-0.04324837069804886,0.04631966733269534,0.045549823608639704
audio,-1,70.0,150.0,HG 70-150Hz,298,hg,-0.0038951732927807355,0.05726196812173675,-0.03252901804230481,0.023092960291613587,0.003823094541449821,-0.0370044373388207,-0.010749394280893913,0.024050863701371474
audio,-1,70.0,150.0,HG 70-150Hz,299,hg,-0.009493714840803304,0.07195474995053223,-0.05233977161030322,0.035154379470344194,-0.0254481722455493,-0.03084424307058875,0.011016772346367559,0.033750257647784075
picture,-1,70.0,150.0,HG 70-150Hz,0,hg,0.019466553868044224,0.06914175099358318,0.002057386315007682,0.012151468782295772,-0.06675149424514121,-0.06214680374542472,0.026081138031635212,0.03682808514016172
picture,-1,70.0,150.0,HG 70-150Hz,1,hg,0.004992547792531586,0.06779716093094995,0.01634811278177291,-0.0032971556282476036,-0.05590907544931317,-0.0497248466077369,0.019793256180043906,0.03112316505294229
picture,-1,70.0,150.0,HG 70-150Hz,2,hg,-0.03181944127465665,0.06290699306475399,0.0030294517717061233,-0.03855087578650712,-0.014222499009451698,-0.01226153612060853,0.030917907354764226,0.027672672054635472
picture,-1,70.0,150.0,HG 70-150Hz,3,hg,-0.0667577708077731,0.054734853057079466,-0.047236337324814304,-0.06790244687705346,0.036879161405360704,0.028254678286193314,0.06202786226100851,0.051970444288468975
picture,-1,70.0,150.0,HG 70-150Hz,4,hg,-0.08481496918598559,0.015170219627628982,-0.04173302943037994,-0.04807464287508161,0.0605833307905363,0.039586620245308166,0.05928247082797406,0.049892183283270664
picture,-1,70.0,150.0,HG 70-150Hz,5,hg,-0.08758503959504381,-0.07387978214750651,0.0017116140089533075,0.03604694849493212,0.05674346855928152,0.02904270180065848,0.03792008887872554,0.04613280621215733
picture,-1,70.0,150.0,HG 70-150Hz,6,hg,-0.08612522864513886,-0.15783104904143933,0.06823691648716558,0.11421641322259565,0.044719344395731955,0.015903041527701573,0.0008805620533844802,0.06970179362473676
picture,-1,70.0,150.0,HG 70-150Hz,7,hg,-0.06212156787828472,-0.17323365637202254,0.08689495596145548,0.11897127190812089,0.03099822901402665,0.02630594588428396,-0.027815178517578972,0.07519154364796761
picture,-1,70.0,150.0,HG 70-150Hz,8,hg,-0.007026804883806387,-0.1213713755150242,0.036456838261288725,0.056108075623552765,0.023651737642332655,0.040032248500832354,-0.02785071962917616,0.044642542865144755
picture,-1,70.0,150.0,HG 70-150Hz,9,hg,0.047832459287522146,-0.06340682335393168,-0.040601917680385645,-0.005594321328936854,0.020715632798581064,0.05249778662214479,-0.011442816344993693,0.03458453677378513
