sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
159,2,2,5,3,2,6,7,9,7,9,2,0,10,14,17,17,17,7,4,7
160,1,1,4,1,2,8,9,6,2,9,2,1,2,0,7,2,2,20,8,11
161,1,1,4,1,2,8,9,6,2,9,2,0,2,0,17,2,10,20,8,19
162,2,2,5,3,2,6,7,9,7,9,6,0,10,14,17,17,17,7,4,7
163,2,2,5,3,2,6,7,9,7,9,2,0,10,14,17,17,17,7,4,7
164,1,1,4,1,2,8,7,6,1,9,2,0,10,14,17,17,17,7,4,11
165,2,2,5,3,2,6,7,9,1,9,2,0,10,14,17,17,17,7,4,11
166,2,2,5,3,2,6,7,9,7,9,2,0,10,14,17,17,17,7,4,7
167,2,2,5,3,2,6,7,6,7,9,2,0,15,14,17,15,15,7,4,7
168,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
169,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
170,2,2,5,3,2,6,7,9,7,9,2,0,10,14,17,17,10,7,4,7
171,2,2,5,3,2,6,7,6,1,9,2,0,10,14,17,17,10,7,4,11
172,2,2,5,3,2,6,7,9,7,9,2,0,10,14,17,17,17,7,4,7
173,2,2,5,3,2,6,4,9,7,9,6,0,6,14,17,6,6,7,4,7
174,1,1,4,2,4,2,1,1,10,3,10,1,2,2,7,9,19,14,20,21
175,1,1,4,1,2,8,7,6,1,9,2,0,10,14,17,17,17,7,4,11
176,2,2,5,1,2,6,7,6,1,9,2,0,10,14,17,17,17,7,4,7
177,2,2,5,3,2,6,4,9,7,9,6,0,6,14,17,17,17,7,4,7
178,1,1,4,1,4,8,9,6,2,12,9,1,2,0,2,2,2,14,8,19
179,1,1,4,1,4,8,9,8,0,12,0,1,2,0,2,2,2,14,8,19
180,1,1,0,5,7,0,2,2,9,0,11,10,0,13,0,0,0,1,1,6
181,1,1,0,5,7,0,2,2,9,0,11,10,0,13,0,0,0,1,1,6
182,1,1,0,5,7,0,2,2,9,0,11,10,11,13,0,0,0,1,1,6
183,1,1,0,5,7,0,2,2,9,0,11,10,11,13,0,0,0,1,1,6
184,1,1,0,5,7,0,2,2,9,0,11,10,11,13,0,0,0,1,1,6
185,1,1,0,5,7,0,2,2,9,0,11,10,11,13,0,11,11,1,5,6
186,1,1,4,1,2,0,7,8,1,10,2,1,10,14,17,17,17,1,1,11
187,2,2,5,3,1,6,4,9,7,5,6,0,6,14,17,6,6,7,15,7
188,2,2,5,0,6,1,6,5,8,7,12,7,15,9,8,15,15,11,6,19
189,2,2,5,3,1,6,4,9,7,5,6,0,6,14,17,6,6,7,4,7
190,2,2,5,1,2,6,7,6,2,9,2,0,15,9,17,15,15,7,8,19
191,2,2,5,3,1,6,4,9,7,9,6,0,15,9,17,15,15,7,8,7
192,2,2,5,0,6,1,6,5,8,7,12,7,12,6,8,12,12,18,6,2
193,1,4,3,0,6,1,6,5,8,7,12,7,12,6,8,12,12,11,6,3
194,1,1,4,2,4,8,9,6,2,12,4,14,4,0,7,2,2,20,14,19
195,1,1,4,1,4,8,9,6,2,12,4,12,15,0,1,15,15,10,14,19
196,2,2,5,1,2,6,7,6,2,9,2,0,15,9,17,15,15,7,8,19
197,2,1,3,2,2,1,7,6,1,9,2,0,10,14,17,17,17,7,4,11
198,1,4,3,0,6,1,6,5,8,7,12,7,12,6,4,14,14,11,17,0
199,1,1,4,1,4,8,9,6,2,12,2,14,2,0,7,15,2,2,14,19
200,1,1,3,2,2,8,7,6,1,9,2,1,2,0,7,2,2,7,14,19
201,1,1,4,1,2,8,9,6,2,12,2,1,15,0,1,15,2,20,14,19
202,1,1,4,1,4,8,9,6,2,12,2,1,2,0,7,2,2,20,14,19
203,1,1,4,2,5,8,1,3,4,12,0,14,2,0,2,14,14,2,14,19
204,1,4,3,2,5,1,1,3,4,11,12,14,14,11,2,14,14,2,17,0
205,3,3,1,4,0,2,1,1,10,11,10,11,13,7,6,18,18,19,18,4
206,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
207,1,1,4,1,4,8,9,6,2,1,4,12,4,10,1,4,9,0,16,17
208,3,3,1,4,0,2,1,1,10,3,10,11,4,2,6,9,19,19,20,21
209,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
210,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
211,0,0,2,6,3,4,5,10,3,6,5,2,5,5,13,5,5,9,13,1
212,1,1,4,1,2,8,7,6,2,9,2,0,15,0,17,2,2,7,4,11
213,2,2,5,1,2,6,7,6,7,9,2,0,15,14,17,15,15,7,4,7
214,2,1,5,1,2,6,7,6,7,9,2,0,15,14,17,2,2,7,8,7
215,2,2,5,3,2,6,7,9,7,9,2,0,15,14,17,15,15,7,4,7
216,3,3,1,4,4,2,1,1,10,3,4,6,4,2,11,9,19,14,20,21
217,1,1,4,4,4,2,1,1,10,3,9,1,4,2,11,9,19,14,20,21
218,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
219,0,0,2,6,3,5,5,0,11,4,7,3,7,1,5,7,7,15,0,13
220,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
221,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
222,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
223,1,1,4,1,4,8,9,6,2,12,4,12,4,10,1,4,9,0,16,17
224,3,3,1,4,0,2,1,1,10,11,10,11,13,7,6,18,18,19,18,4
225,3,3,1,4,0,2,1,1,10,11,10,11,13,2,6,18,18,19,18,21
226,3,3,1,4,0,2,1,1,10,11,10,11,13,7,6,18,18,19,18,4
