sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
253,7,8,9,10,10,11,12,12,12,13,14
254,7,8,9,10,10,11,12,12,12,13,14
255,7,8,9,10,10,11,12,12,12,13,14
256,7,8,9,10,10,11,12,12,12,13,14
257,7,8,9,10,10,11,12,12,12,13,14
258,7,8,9,10,10,11,12,12,12,13,14
259,7,8,9,10,10,11,12,12,12,13,14
260,7,8,9,10,10,11,12,12,12,13,14
261,7,8,9,10,10,11,12,12,12,13,14
262,7,8,9,10,10,11,12,12,12,13,14
263,7,8,9,10,10,11,12,12,12,13,14
264,7,8,9,10,10,11,12,12,12,13,14
265,7,8,9,10,10,11,12,12,12,13,14
266,7,8,9,10,10,11,12,12,12,13,14
267,7,8,9,10,10,11,12,12,12,13,14
268,7,8,9,10,10,11,12,12,12,13,14
269,7,8,9,10,10,11,12,12,12,13,14
270,7,8,9,10,10,11,12,12,12,13,14
271,7,8,9,10,10,11,12,12,12,13,14
272,7,8,9,10,10,11,12,12,12,13,14
273,7,8,9,10,10,11,12,12,12,13,14
274,7,8,9,10,10,11,12,12,12,13,14
275,7,8,9,10,10,11,12,12,12,13,14
276,7,8,9,10,10,11,12,12,12,13,14
277,7,8,9,10,10,11,12,12,12,13,14
278,7,8,9,10,10,11,12,12,12,13,14
279,7,8,9,10,10,11,12,12,12,13,14
280,7,8,9,10,10,11,12,12,12,13,14
281,7,8,9,10,10,11,12,12,12,13,14
282,7,8,9,10,10,11,12,12,12,13,14
283,7,8,9,10,10,11,12,12,12,13,14
284,7,8,9,10,10,11,12,12,12,13,14
285,7,8,9,10,10,11,12,12,12,13,14
286,7,8,9,10,10,11,12,12,12,13,14
287,7,8,9,10,10,11,12,12,12,13,14
288,7,8,9,10,10,11,12,12,12,13,14
289,7,8,9,10,10,11,12,12,12,13,14
290,7,8,9,10,10,11,12,12,12,13,14
291,7,8,9,10,10,11,12,12,12,13,14
292,7,8,9,10,10,11,12,12,12,13,14
293,8,9,10,11,11,12,13,14,14,15,16
294,7,8,9,10,10,11,12,12,12,13,14
295,7,8,9,10,10,11,12,12,12,13,14
296,7,8,9,10,10,11,12,12,12,13,14
297,7,8,9,10,10,11,12,12,12,13,14
298,7,8,9,10,10,11,12,12,12,13,14
299,7,8,9,10,10,11,12,12,12,13,14
300,7,8,9,10,10,11,12,12,12,13,14
301,7,8,9,10,10,11,12,12,12,13,14
302,7,8,9,10,10,11,12,12,12,13,14
303,7,8,9,10,10,11,12,12,12,13,14
304,7,8,9,10,10,11,12,12,12,13,14
305,7,8,9,10,10,11,12,12,12,13,14
306,7,8,9,10,10,11,12,12,12,13,14
307,7,8,9,10,10,11,12,12,12,13,14
308,7,8,9,10,10,11,12,12,12,13,14
309,7,8,9,10,10,11,12,12,12,13,14
310,7,8,9,10,10,11,12,12,12,13,14
311,7,8,9,10,10,11,12,12,12,13,14
312,7,8,9,10,10,11,12,12,12,13,14
313,9,10,11,12,12,13,14,15,16,17,18
314,9,10,11,12,12,13,14,15,16,17,18
315,9,10,11,12,12,13,14,15,16,17,18
316,9,10,11,12,12,13,14,15,16,17,18
317,9,10,11,12,12,13,14,15,16,17,18
318,9,10,11,12,12,13,14,15,16,17,18
319,9,10,11,12,12,13,14,15,16,17,18
320,9,10,11,12,12,13,14,15,16,17,18
321,9,10,11,12,12,13,14,15,16,17,18
322,9,10,11,12,12,13,14,15,16,17,18
323,8,9,10,11,11,12,13,14,14,15,16
324,8,9,10,11,11,12,13,14,14,15,16
325,8,9,10,11,11,12,13,14,14,15,16
326,8,9,10,11,11,12,13,14,14,15,16
