sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
168,0,0,2,8,13,13,8,5,13,5,17
169,0,0,9,8,13,0,0,4,13,9,3
170,0,0,2,8,13,13,8,5,13,5,17
171,0,0,2,8,13,13,8,5,13,5,17
172,0,0,2,8,1,1,4,4,13,9,6
173,0,0,2,8,13,13,8,5,13,9,6
174,0,0,2,8,1,1,8,5,13,9,6
175,0,0,2,8,13,13,8,5,13,5,17
176,0,0,2,8,13,13,8,5,13,5,17
177,0,0,2,8,13,13,8,5,13,5,17
178,0,0,2,8,13,13,8,5,13,5,17
179,1,1,9,10,1,1,3,6,10,9,6
180,1,1,9,10,1,1,3,6,13,9,6
181,1,1,9,10,1,1,3,4,13,9,6
182,0,0,2,8,13,13,0,5,13,5,17
183,0,0,2,8,13,13,8,5,13,9,6
184,1,1,9,10,1,1,3,6,10,7,18
185,3,1,10,10,1,1,3,6,10,7,18
186,0,7,3,5,1,1,8,7,6,3,6
187,0,7,3,5,1,1,8,7,6,3,6
188,0,0,2,8,13,1,8,5,13,9,6
189,0,0,2,8,1,1,8,5,13,9,6
190,0,0,2,8,13,13,8,5,13,5,17
191,0,0,2,8,13,1,8,5,13,9,6
192,0,1,2,10,1,1,8,5,13,9,6
193,1,3,1,7,5,3,14,2,0,17,5
194,1,3,1,7,8,3,14,2,0,17,5
195,1,3,1,7,8,3,14,2,0,17,5
196,0,0,2,8,13,13,8,5,13,5,17
197,0,0,2,8,13,13,8,5,13,5,17
198,3,1,10,10,1,1,4,6,10,7,6
199,1,1,9,0,5,0,0,4,10,7,18
200,1,5,9,10,5,0,5,11,10,7,18
201,2,8,0,3,12,9,12,12,12,11,1
202,3,5,10,10,1,4,5,11,10,7,18
203,1,1,9,10,1,1,5,11,0,7,5
204,3,5,10,1,4,4,4,0,4,15,7
205,1,1,9,10,1,1,3,6,10,9,6
206,0,0,2,8,13,13,8,5,13,5,17
207,0,0,2,8,13,13,8,5,13,9,17
208,1,1,10,10,1,4,5,11,10,7,18
209,3,3,1,7,8,3,5,11,4,7,7
210,8,3,1,7,8,3,14,2,16,17,14
211,6,4,9,1,4,12,4,4,13,9,3
212,6,4,9,2,11,12,11,4,5,9,3
213,6,4,1,10,11,12,10,10,0,6,5
214,0,0,2,8,13,13,8,5,11,5,17
215,0,0,2,8,13,13,0,4,13,5,17
216,2,8,0,3,7,2,12,12,7,2,1
217,0,0,2,8,13,13,4,0,13,9,6
218,0,0,2,8,13,13,4,0,13,9,6
219,0,0,2,8,13,13,4,0,11,0,16
220,0,0,2,8,13,13,4,0,11,0,16
221,0,0,2,8,13,13,4,0,11,0,16
222,8,3,1,7,8,3,14,2,0,17,5
223,1,1,9,10,1,1,3,6,10,7,18
224,3,5,10,1,4,4,5,11,4,15,7
225,0,0,2,8,13,13,4,0,11,0,16
226,0,0,2,8,13,13,4,0,11,0,16
227,3,5,10,1,4,4,4,0,11,0,16
228,0,0,2,8,13,13,4,0,11,0,16
229,0,0,2,8,13,13,4,0,11,0,16
230,0,0,2,8,13,13,4,0,13,9,16
231,0,0,2,8,13,13,4,0,11,0,16
232,3,5,10,1,4,4,5,4,4,15,7
233,1,0,9,0,5,0,0,4,13,9,3
234,3,3,1,7,8,3,5,11,0,17,5
235,3,5,10,1,4,4,5,11,4,7,7
236,3,5,10,1,4,4,4,0,4,7,16
237,0,0,2,8,13,13,4,0,11,0,16
238,0,0,2,8,13,13,4,0,11,0,16
239,3,5,10,10,1,4,5,6,10,7,18
240,3,5,10,10,1,4,3,6,10,7,18
241,3,5,10,1,4,4,4,0,4,15,16
242,1,4,9,1,5,0,0,4,0,9,3
243,1,1,9,10,5,0,0,4,0,9,3
244,1,1,9,10,1,1,4,0,10,0,16
245,8,3,1,7,8,3,14,2,16,17,14
246,3,5,10,1,4,4,5,11,4,15,7
247,3,5,10,1,4,4,5,11,4,15,7
248,3,5,10,1,4,4,5,11,4,15,7
249,3,5,10,1,4,4,4,0,4,15,16
250,3,5,10,1,8,4,5,11,4,17,7
251,8,3,1,7,8,3,5,11,0,17,7
252,3,5,10,1,4,4,5,0,4,15,7
253,0,0,2,8,13,13,4,0,11,9,16
254,3,5,10,1,4,4,4,0,4,7,16
255,1,5,10,1,4,4,5,11,4,7,7
256,8,3,1,7,8,3,5,11,16,17,14
257,8,3,1,7,8,3,14,2,16,17,14
258,3,5,10,1,4,4,4,0,4,15,7
259,3,5,10,1,4,4,4,0,4,15,7
260,8,3,1,7,8,3,14,2,16,17,14
261,0,0,2,8,13,13,4,0,11,0,16
262,3,5,10,1,4,4,5,11,4,7,7
263,3,5,10,1,4,4,5,11,4,7,7
264,3,5,10,1,4,4,5,11,4,15,7
265,1,3,1,7,8,3,0,11,0,17,3
266,3,3,1,7,8,3,5,11,0,17,7
267,7,3,1,2,10,3,11,1,0,14,5
268,6,3,1,7,8,3,10,16,0,14,5
269,0,0,2,8,13,13,8,5,13,5,17
270,8,3,1,7,8,3,14,2,16,17,14
271,8,3,1,7,8,3,14,2,0,17,5
272,8,3,1,7,8,3,14,2,0,17,5
273,8,3,1,7,8,3,14,2,16,17,14
274,1,3,1,0,5,3,5,4,0,7,5
275,1,3,1,7,8,3,14,2,0,17,5
276,8,3,1,7,8,3,14,2,16,17,14
277,8,3,1,7,8,3,14,2,16,17,14
278,8,9,8,11,6,8,7,9,16,13,14
279,8,3,1,7,8,3,14,2,0,17,14
280,1,3,1,7,8,3,5,11,10,7,18
281,8,3,1,7,8,3,14,2,16,17,14
282,8,3,1,7,8,3,14,2,16,17,14
283,8,3,1,7,8,3,14,2,16,17,14
284,9,10,7,4,0,6,1,15,1,1,9
285,2,8,0,3,12,9,12,12,12,11,15
286,8,3,1,7,8,3,14,2,16,17,14
287,8,3,8,7,8,3,14,2,16,17,14
288,0,0,11,0,13,0,0,4,2,12,3
289,7,4,11,0,10,11,11,1,2,12,19
290,1,1,9,0,5,0,0,4,5,9,3
291,1,1,9,0,5,0,0,4,13,9,3
292,1,0,9,0,5,0,0,4,13,9,3
293,9,10,11,0,5,0,1,15,1,1,3
294,8,3,1,7,8,3,14,2,0,17,5
295,8,3,1,7,8,3,14,2,0,17,5
296,0,0,2,8,5,0,0,4,13,5,17
297,1,3,1,7,8,3,5,11,0,17,5
298,6,4,5,2,11,12,11,16,5,14,5
299,1,1,9,0,5,0,0,4,13,9,3
300,1,0,9,0,5,0,0,4,13,9,3
301,6,4,9,2,11,12,11,4,5,14,3
302,7,4,5,2,11,12,11,16,5,14,12
303,7,6,11,12,10,7,13,1,2,4,2
304,6,4,7,0,5,0,0,4,1,1,3
305,7,1,9,0,5,0,11,4,0,7,3
306,7,4,1,0,5,12,10,16,0,1,5
307,1,1,9,10,1,1,3,6,10,7,18
308,1,1,9,10,1,1,3,6,10,7,18
309,1,1,9,10,1,1,3,6,10,7,18
310,1,1,9,10,1,1,3,6,10,7,18
311,1,1,9,10,1,1,3,6,10,7,18
312,0,0,11,8,13,11,11,1,2,12,19
313,7,6,11,0,10,11,11,1,2,12,19
314,6,0,9,0,5,0,0,4,13,1,3
315,0,0,2,8,13,0,0,4,13,5,3
316,0,0,2,8,13,13,8,5,13,5,17
317,6,4,7,0,5,0,0,4,8,1,3
