sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
255,2,3,2,2,7,4,6,4,3,1,1,1,1,11,10,0,18,6,12,12
256,2,3,2,2,7,4,0,0,3,1,1,1,1,14,10,0,18,20,12,12
257,2,0,5,3,1,1,8,5,9,10,11,7,14,9,0,2,5,1,2,20
258,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,19,2
259,2,0,5,3,1,4,6,4,6,10,11,7,14,9,0,2,18,6,2,2
260,2,0,5,3,1,4,6,4,6,10,1,7,14,9,0,2,5,1,2,2
261,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,1,13,14,2,4
262,2,0,5,3,1,1,8,4,6,10,11,7,14,9,0,2,5,1,19,20
263,2,0,5,3,1,1,8,5,9,10,11,7,14,1,5,2,5,1,19,3
264,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,19,20
265,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,19,20
266,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,0,13,14,2,4
267,1,0,5,3,5,4,6,4,6,10,11,7,14,9,0,2,5,1,2,2
268,2,0,5,3,5,4,6,4,6,10,11,7,14,9,0,2,5,1,19,2
269,2,0,5,3,1,4,6,4,6,10,11,7,14,9,0,2,5,1,19,2
270,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
271,2,3,2,2,7,4,6,4,3,1,1,6,1,14,10,0,18,6,2,2
272,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
273,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
274,2,0,5,3,1,1,8,4,6,10,11,7,14,9,0,2,5,1,2,2
275,2,0,2,2,7,4,8,4,3,1,1,6,13,14,10,0,18,6,2,2
276,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,12
277,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,12
278,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,1,13,20,2,4
279,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,1,13,14,2,4
280,1,3,0,1,3,2,3,3,10,2,9,13,5,0,7,4,8,16,14,2
281,1,3,0,1,3,2,3,3,10,2,9,13,5,0,7,4,18,6,12,2
282,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,19,2
283,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,0,13,20,2,4
284,2,0,5,3,1,4,8,5,9,1,3,6,13,14,10,0,13,6,2,2
285,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,2,2
286,2,0,5,3,1,4,8,4,6,10,11,7,1,9,0,2,18,6,2,2
287,2,0,5,3,1,1,8,4,6,10,11,7,14,9,0,2,5,1,2,2
288,2,0,5,3,1,4,8,4,6,10,11,7,14,9,0,2,5,1,2,2
289,1,3,0,1,3,2,3,3,10,2,9,13,5,0,7,4,15,16,14,1
290,2,0,5,3,1,4,6,4,3,1,1,6,1,9,0,2,18,20,2,4
291,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
292,2,3,2,2,7,4,0,4,3,1,1,6,1,14,10,0,18,20,2,4
293,2,0,5,3,1,1,8,5,9,4,3,6,13,9,5,1,13,1,2,4
294,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,2,4
295,2,0,5,3,1,4,8,4,6,1,3,6,14,9,0,2,5,1,2,2
296,2,3,2,2,7,4,6,4,3,1,1,1,1,11,10,0,18,6,12,2
297,2,3,2,2,7,4,6,4,3,1,1,6,1,14,10,0,18,20,12,12
298,1,3,2,2,5,4,6,4,3,2,1,1,1,11,17,14,18,6,12,2
299,1,3,0,1,3,4,6,4,3,2,9,1,5,11,7,14,18,16,12,2
300,2,0,5,3,1,4,6,4,6,1,3,6,14,9,0,2,5,1,2,4
301,2,0,5,3,1,1,8,5,6,10,3,7,14,9,0,2,5,1,2,20
302,2,0,5,3,1,1,8,5,9,4,3,6,13,9,5,2,13,1,2,4
303,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,14,2,4
304,2,3,2,2,7,4,6,4,3,1,1,1,1,9,10,2,18,6,12,2
305,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,6,12,2
306,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,2,13,1,2,4
307,2,0,5,3,1,1,8,5,9,4,3,6,13,1,5,1,13,1,2,4
308,2,0,5,3,1,1,8,5,9,4,3,3,13,1,5,1,13,14,4,3
309,2,0,5,3,1,1,8,5,6,10,11,7,14,9,0,2,5,1,2,20
310,2,3,2,2,7,4,6,4,3,1,1,1,1,14,10,0,18,20,12,2
311,2,0,5,3,1,1,8,5,9,4,3,6,13,14,5,0,13,14,2,4
312,2,0,5,3,1,1,8,5,6,10,3,6,13,9,0,2,5,1,2,2
313,1,3,2,2,7,4,6,4,3,1,1,1,1,11,17,0,18,20,12,12
314,2,0,5,3,1,1,8,5,9,4,3,6,13,14,10,0,13,6,2,2
315,2,0,5,3,1,1,8,5,6,10,3,7,14,9,0,2,5,1,2,2
