sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
27,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
28,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
29,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
30,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
31,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
32,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
33,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
34,1,5,1,4,5,1,0,1,6,1,8,8,13,11,4,0,7,7,1,0,6,19,13,20,14,1
35,4,1,2,1,6,3,8,6,2,7,13,14,13,10,11,6,14,17,15,15,6,19,13,3,14,5
36,4,1,2,1,6,3,8,6,2,7,13,14,13,10,11,6,14,17,15,15,6,19,13,3,14,5
37,4,1,2,1,6,3,8,6,2,7,13,14,13,10,11,6,14,17,15,15,6,19,13,3,14,5
38,4,1,2,1,6,3,8,6,2,7,13,14,13,10,11,6,14,17,15,15,6,19,13,3,14,5
39,4,1,2,1,6,3,8,6,2,7,13,14,13,10,11,6,14,17,15,15,6,19,13,3,14,5
40,0,0,0,4,1,1,0,1,6,1,8,8,13,11,4,0,7,7,15,0,6,19,13,3,14,1
41,4,1,2,1,6,3,8,1,6,1,8,8,13,7,4,6,7,7,15,0,6,19,13,3,14,1
42,4,1,2,1,6,3,8,6,2,7,13,14,13,10,2,6,1,17,15,15,6,19,13,3,14,16
43,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,6,12,16,5,2,25,16
44,4,1,2,1,6,3,8,6,2,7,13,14,8,10,18,12,17,17,21,13,12,16,5,9,25,16
45,4,1,2,1,6,3,8,6,2,7,13,14,8,10,18,12,17,17,21,13,12,16,5,9,25,16
46,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,29
47,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,29
48,4,1,2,1,6,3,8,6,2,7,6,14,13,10,2,6,1,17,15,15,6,19,13,3,14,5
49,4,1,2,1,2,9,3,2,0,12,6,1,13,2,16,6,11,14,15,15,6,19,13,3,14,5
50,4,1,2,1,2,9,3,2,0,12,6,1,13,2,16,6,11,3,15,15,6,19,13,3,14,5
51,4,1,2,1,6,3,8,6,0,12,6,1,13,2,2,6,7,3,15,15,6,19,13,3,14,1
52,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,7,3,15,15,6,19,13,3,14,5
53,4,1,2,1,6,3,8,6,0,12,6,1,13,2,2,6,7,3,15,15,6,19,13,3,14,1
54,4,1,2,1,6,3,3,1,6,12,6,1,13,7,16,6,7,7,15,15,6,19,13,3,14,1
55,4,1,2,1,6,3,8,1,6,7,6,4,13,7,2,6,7,7,15,15,6,19,13,3,14,1
56,4,3,2,1,6,3,8,1,6,1,8,4,2,7,4,0,7,7,14,0,15,11,8,20,20,1
57,2,3,0,4,1,1,0,1,6,1,8,8,2,7,4,0,7,7,0,0,15,11,8,20,20,1
58,4,4,5,2,3,5,4,1,6,9,10,12,13,7,0,6,7,7,15,0,15,19,13,20,14,1
59,1,5,1,7,5,4,9,5,1,4,1,10,10,15,0,14,13,8,19,3,10,24,23,24,18,27
60,1,5,1,0,1,4,9,8,5,0,1,10,15,12,7,4,2,0,8,5,23,5,16,18,17,8
61,1,5,1,0,1,4,6,8,9,0,1,10,14,12,17,1,2,0,8,5,23,2,20,18,17,8
62,0,0,0,0,1,2,6,7,9,0,12,15,14,12,17,1,6,0,8,20,9,2,20,18,27,8
63,0,0,0,0,1,9,6,7,9,0,12,15,14,9,17,1,6,0,8,20,9,2,20,18,27,3
64,0,0,0,3,2,9,3,7,0,0,6,15,14,9,17,1,11,14,8,20,9,2,20,18,27,5
65,0,0,0,3,2,9,3,2,0,12,6,15,13,9,16,6,11,14,15,20,6,2,20,18,14,5
66,1,5,1,7,5,4,9,5,5,11,1,10,10,15,0,14,7,8,19,3,8,24,23,20,18,27
67,1,5,1,7,5,4,9,5,5,4,1,10,10,15,0,14,13,8,19,3,10,24,23,20,18,27
68,1,5,1,7,5,4,0,8,5,11,1,10,10,15,0,14,13,8,19,3,10,24,23,24,18,27
69,0,3,0,4,7,1,0,1,6,1,8,8,13,7,4,0,7,7,15,0,6,19,13,20,14,1
70,4,1,2,1,6,3,8,1,2,9,10,14,8,10,18,12,7,19,21,6,17,1,11,2,8,16
71,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,29
72,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,14,15,15,6,19,13,3,14,5
73,4,1,2,3,2,9,3,2,0,12,6,1,13,2,16,6,11,14,15,15,6,19,13,3,14,5
74,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,19,21,6,17,16,5,2,25,16
75,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,29
76,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,29
77,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,14,16,5,9,25,16
78,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,11,3,7,19,14,12,22,11,7,17
79,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
80,4,1,2,1,6,3,8,6,2,7,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
81,4,1,2,1,2,3,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
82,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
83,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
84,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
85,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
86,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
87,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,4,3,7,19,14,12,22,11,7,17
88,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,16
89,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,14,16,5,9,25,16
90,4,1,2,1,6,3,8,6,2,7,13,14,8,10,2,12,1,17,21,13,12,16,5,9,25,16
91,4,1,2,3,2,9,3,2,0,12,6,1,12,2,16,15,1,3,7,19,14,12,22,11,7,17
92,4,1,2,3,2,9,3,2,0,12,6,1,12,2,2,15,1,3,7,19,14,12,22,11,7,17
93,0,4,0,3,2,9,3,2,0,12,6,1,12,2,16,15,7,3,7,19,14,12,22,11,18,17
94,1,4,5,2,3,5,4,5,5,9,1,10,10,15,0,14,13,8,19,3,10,24,19,24,18,2
