sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
102,1,0,5,2,7,7,3,6,5,5,12,12,1,17,4,6,12,12,1,18,21,23,6,6,20,7
103,1,0,5,2,7,7,3,9,5,5,0,12,1,17,10,6,12,20,1,18,21,23,6,6,26,7
104,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
105,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
106,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
107,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
108,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
109,4,1,4,1,6,5,9,3,10,2,11,7,16,6,11,3,5,5,18,2,1,22,7,12,15,29
110,4,1,4,1,6,5,9,3,10,2,11,7,16,6,11,7,7,2,22,5,7,1,10,21,4,29
111,0,3,1,0,1,3,7,9,7,10,0,9,1,17,10,0,9,20,6,8,21,5,26,17,0,0
112,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
113,4,1,4,1,6,5,1,3,10,2,11,7,16,6,11,3,5,2,22,2,1,1,7,21,4,8
114,0,1,1,1,1,9,7,9,7,10,0,8,1,17,10,6,9,20,1,14,21,5,12,9,0,7
115,0,1,1,0,1,9,7,9,7,10,0,9,1,17,10,6,12,20,1,14,21,23,6,6,0,7
116,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,12,12,10,18,9,23,6,6,26,2
117,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,12,12,10,18,9,23,6,6,12,2
118,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,12,12,10,18,9,23,6,6,26,2
119,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,0,19,20,14,8,21,5,26,17,20,7
120,0,1,1,1,1,2,7,9,7,10,0,9,1,17,10,7,9,20,6,14,21,5,26,17,20,0
121,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,12,20,1,18,21,5,12,9,20,7
122,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
123,4,5,4,1,6,5,1,3,10,2,2,5,16,6,11,0,5,2,22,2,1,1,7,21,4,8
124,0,1,4,1,1,2,7,1,7,10,0,9,1,17,10,7,9,20,6,14,21,5,12,9,0,0
125,4,5,6,3,1,2,7,3,7,10,6,9,0,6,10,7,9,2,6,14,7,5,26,17,19,0
126,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,1,8,21,5,26,17,20,7
127,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,19,12,12,10,18,9,23,6,16,26,2
128,1,0,5,2,7,7,3,6,5,5,12,1,8,2,4,19,12,12,1,18,21,23,6,6,26,7
129,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,19,20,14,8,21,17,26,17,20,7
130,4,1,4,1,6,5,1,3,10,2,11,7,16,6,11,3,5,5,18,2,20,1,7,21,15,1
131,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,12,20,1,8,21,5,26,9,20,7
132,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
133,1,0,5,2,7,7,3,6,5,5,12,12,8,2,4,8,3,12,10,9,9,16,2,25,12,2
134,4,5,4,1,6,5,9,3,10,2,11,7,16,6,11,3,5,5,18,2,4,22,7,21,15,29
135,4,5,6,3,6,5,9,3,10,2,11,7,16,6,11,3,5,2,18,5,20,1,0,21,1,1
136,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,9,20,6,14,21,5,26,17,20,7
137,0,3,1,0,3,3,7,9,6,10,0,9,1,17,10,6,12,20,1,18,21,5,26,17,20,7
138,0,3,1,0,3,3,7,9,6,0,7,9,1,17,15,6,20,20,1,1,21,5,12,9,20,7
139,0,3,1,0,1,2,7,1,7,10,6,9,0,15,10,15,9,9,6,8,7,5,26,17,19,0
140,2,1,4,1,6,5,1,8,11,11,2,5,15,6,11,3,5,2,22,2,1,1,1,21,4,8
141,2,1,4,1,1,9,9,8,1,2,11,8,15,1,9,7,7,16,22,5,7,1,1,3,13,29
142,4,1,4,1,6,5,1,3,7,2,11,7,16,6,11,7,5,2,22,14,1,1,26,21,4,0
143,4,5,6,3,6,5,1,3,7,2,11,7,0,6,11,0,5,2,6,2,1,1,26,17,4,0
144,4,5,6,3,0,8,2,3,10,13,11,7,16,3,8,15,5,2,18,2,4,22,0,1,1,10
145,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,0,19,20,14,8,21,5,26,17,20,7
146,1,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,12,20,1,18,21,23,6,6,20,7
147,4,5,6,3,0,5,1,3,10,2,6,15,0,6,11,15,5,2,22,2,1,1,7,21,4,8
148,4,5,6,3,0,5,9,3,10,2,11,7,16,3,8,15,18,6,0,5,20,1,0,10,1,1
149,0,5,1,7,1,2,7,1,0,4,4,0,0,15,2,7,9,1,6,8,7,5,26,17,19,0
150,0,3,1,0,3,3,7,9,7,10,0,9,1,17,10,6,12,20,1,18,21,5,12,9,0,7
151,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
152,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
