condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[17Networks_1],coef[17Networks_10],coef[17Networks_11],coef[17Networks_12],coef[17Networks_13],coef[17Networks_14],coef[17Networks_15],coef[17Networks_16],coef[17Networks_17],coef[17Networks_2],coef[17Networks_3],coef[17Networks_4],coef[17Networks_5],coef[17Networks_6],coef[17Networks_7],coef[17Networks_8],coef[17Networks_9],importance
reading,-1,70.0,150.0,HG 70-150Hz,183,hg,-0.03785908037273267,-0.01062484304374648,0.026994298592683003,0.021144503386715714,-0.011973047032191216,0.01614672672247046,0.017550643126908003,-0.01763367856896859,-0.03003046178543115,-2.8732343985399486e-05,0.03034799103969437,-0.0046086567561802695,-0.004427137646726311,0.035624981737661376,0.010140893254931088,-0.021453290641566494,-0.0193111096695354,0.018582357395419295
reading,-1,70.0,150.0,HG 70-150Hz,184,hg,-0.012871775163929011,-0.019448054817861996,0.029869216931706095,0.018944614642042754,-0.014213159385556215,0.040004069232545854,0.01503720968771877,-0.014614310514215087,-0.023144731536704835,-0.015987236099383205,0.022622161082121565,-0.014930648260693223,-0.025319526815538715,0.021551634280269818,0.01780299542800825,-0.003707623558228064,-0.021594835132302453,0.019509635445225052
reading,-1,70.0,150.0,HG 70-150Hz,185,hg,-0.01056395307142082,-0.02865441790260845,0.033323569050352414,0.0081942912067424,-0.00041040730995819973,0.04080055909267304,0.01918884155464281,-0.013479361384252745,-0.014574620301154244,-0.01993207647057214,0.0164677308738966,-0.0032888546145637882,-0.024531034484710626,0.003951841030429505,0.003573566039365214,0.007503710386449473,-0.01756938369531013,0.01564754226288839
reading,-1,70.0,150.0,HG 70-150Hz,186,hg,-0.0007859390779741532,-0.04133675652677013,0.030301789418401292,-0.016972470864035354,-0.02139331946776615,0.03698209941137147,0.03490657662361014,-0.00410802709245872,0.011424734304552066,-0.021979110746974357,0.013830706816342287,-0.0011440233342731763,-0.018471220349675178,0.0016901560189730256,-0.0051206483008666304,0.004325139085834026,-0.002149685918290339,0.015701317844598148
reading,-1,70.0,150.0,HG 70-150Hz,187,hg,-0.008862837175779934,-0.05356592201943741,0.020581544529438528,-0.02917329496201695,-0.02101624512459711,0.03280295876628757,0.03880969730051637,-0.005603243967747465,0.022332061360722393,-0.014253811724021508,0.021446802762825016,-0.005038647619540453,0.005906938037383047,0.0012664292495930642,-0.004685085611381411,-0.009536644578235888,0.008589300775992353,0.0178512626803245
reading,-1,70.0,150.0,HG 70-150Hz,188,hg,0.00018966875336417125,-0.05779258342787326,0.02105081595225036,-0.02424751488354818,-0.015319946998645056,0.02141073794697606,0.04198606740416798,-0.005651498178354918,0.005932077386010292,-0.012616186018725365,0.03829893663934627,-0.0017430426561181659,0.006671836596554162,0.007933185289793742,-0.010897075487491699,-0.031131164042333234,0.015925685724626916,0.018752824905069403
reading,-1,70.0,150.0,HG 70-150Hz,189,hg,-0.0068041965224648875,-0.038623800314001276,0.02660251573654467,-0.014966028556896134,-0.018767639788688333,0.007774363137614605,0.02879211040831184,-0.0030535659809716007,-0.01034176111072844,-0.029075732935839215,0.04282677972313878,0.009179031247326861,0.004622860634793903,0.002465375293899621,-0.011709949647661817,-0.006474079040704305,0.01755371771632577,0.016449029870347767
reading,-1,70.0,150.0,HG 70-150Hz,190,hg,-0.020708346296868463,-0.021449211568368258,0.01134244196227941,-0.0018084730003958165,-0.030991976117552965,-0.00044540288065083813,0.02004654992843912,0.009427828197759463,-0.0023981325562505264,-0.02847562186830386,0.025477215905476927,0.028863802803915255,0.03731153319084443,-0.0002618842489590549,-0.029647136036828187,-0.012159461103421159,0.01587627368888454,0.01745242890324696
reading,-1,70.0,150.0,HG 70-150Hz,191,hg,-0.020116581978778234,-0.013119023350025022,-0.010640860081011734,0.012690858395240433,-0.012782694980314957,0.0049315292982455,0.016233836760338634,0.01211323412507045,0.0036149722197374385,-0.02289577495127311,-0.013001238116665597,0.03576778015981854,0.010389808251056403,0.01961642687183013,-0.023808192423106188,-0.007034943642708435,0.008040863442546087,0.01451756582633923
reading,-1,70.0,150.0,HG 70-150Hz,192,hg,-0.027510088440785063,-0.010661812636553152,-0.019695513309104157,0.026168042119011466,-0.0006554461540954653,0.00982027433477599,0.0045920072865674195,0.006283941130109143,0.005887494536934975,-0.017478946629613735,-0.03898486093989822,0.0344637789745434,-0.00079561890420476,0.024234232765663617,-0.0026833976403483036,0.005575439208058974,0.0014404742989379516,0.013937139371129753
reading,-1,70.0,150.0,HG 70-150Hz,193,hg,-0.022501245662328376,-0.006100892619975573,-0.01996732740770075,0.011430349333769425,-0.007262465560092824,-0.007423869844811413,0.00850185834021012,0.0037396771098881757,0.00019303040863551127,-0.02046620732130376,-0.0316481968621674,0.027703036583810525,0.004962499811815287,0.03855255503311306,0.02586381777483649,0.005545916043086308,-0.011122535160784902,0.014881498875195876
reading,-1,70.0,150.0,HG 70-150Hz,194,hg,-0.022243449041004254,-0.0028866083083496866,-0.018401461768243633,-0.006830552900618766,0.0015847196762160513,-0.018524672615607148,0.012847717167589279,0.013652894541927862,-0.013553128926617542,-0.007086838149277797,-0.0023118019912929185,0.0241512071824397,0.00585701944141948,0.025138641491157618,0.04299870464267989,-0.0197859934261205,-0.014606397016297259,0.014850694605109375
reading,-1,70.0,150.0,HG 70-150Hz,195,hg,-0.03154545180148854,-0.0038311526707211197,-0.01053327729359839,-0.013116945469681049,-0.01096069260069841,-0.027214468779289756,0.015546003112244432,0.007242015270733934,-0.026157953392929655,0.009759014764315694,0.011741429499333012,0.037477418712968946,0.00832396055020565,0.015622576977318005,0.04231527281565611,-0.012998988039468761,-0.011668761654899778,0.017415022553267722
reading,-1,70.0,150.0,HG 70-150Hz,196,hg,-0.02955042189904565,-0.006570276904189631,-0.003838067010554946,-0.0032565726593829524,-0.024940609115750665,-0.02503029728069041,0.008625176727057343,0.004702237045193619,-0.014171505924270682,0.009114975413207245,0.01633800611645439,0.040593682457312034,0.013464474817012954,-0.001509125619116114,0.017952109736360966,0.010690187196060455,-0.01261397309565735,0.014291864648077496
reading,-1,70.0,150.0,HG 70-150Hz,197,hg,-0.011928528559105912,0.003992674822062762,-0.008068775240660998,-0.0051273247353749475,-0.017711268351777092,-0.023092804790225383,-0.00043383550831154686,0.0050513619243923785,0.00340296049704872,0.0054342982180944285,0.005861963605997692,0.04037090997451268,-0.00037624281659819444,-0.012096094407922463,0.000851958702337793,0.026877874560616497,-0.013009127895086259,0.010805176741772103
reading,-1,70.0,150.0,HG 70-150Hz,198,hg,-0.013281516878844617,0.013477811904105748,-0.018479011706484607,-0.0066875859901594234,-0.014107516598458037,-0.009383952350919938,-0.0011513719656582233,0.013375326236949602,0.008791729723965436,0.00652486444663731,-0.016336178280185736,0.03437247078355171,-0.005138837307620421,-0.006021404172607164,-0.008254477749372928,0.029859367675718517,-0.007559717770617008,0.012517831855403318
reading,-1,70.0,150.0,HG 70-150Hz,199,hg,-0.013903300471174614,0.008786650463338617,-0.033914082203319214,-0.011938607679837673,-0.004647923694329903,-0.006065296809955311,0.014205799482511808,0.011490324302087868,0.011786044058914815,0.016476281151510536,-0.002345254800156562,0.017427206982711083,-0.020317058299061802,-0.02127916923326679,0.013085636976551672,0.02151192919884007,-0.00035917942536432547,0.01350233795487839
