k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
6,hierarchical,concat_bands5z,cnmf,concat_hg,False,False,0.4113095238095238,0.20100416666666668,0.2119047619047619,0.000999000999000999,0.26321208242786887,1680,1000,20260915_003657,20260914_225554
6,hierarchical,concat_bands5z,cnmf,concat_rawds,False,False,0.4529761904761905,0.20275595238095237,0.21369047619047618,0.000999000999000999,0.3138565146300126,1680,1000,20260915_003657,20260914_230430
6,hierarchical,concat_bands5z,cnmf,concat_bands5z,False,True,0.5351190476190476,0.1990422619047619,0.2089583333333333,0.000999000999000999,0.4195936561066402,1680,1000,20260915_003657,20260914_231813
6,cnmf,concat_hg,cnmf,concat_rawds,True,False,0.3398809523809524,0.20057261904761908,0.2113095238095238,0.000999000999000999,0.1742601475163026,1680,1000,20260914_225554,20260914_230430
6,cnmf,concat_hg,cnmf,concat_bands5z,True,False,0.43154761904761907,0.19692023809523812,0.2065773809523809,0.000999000999000999,0.29215949907128363,1680,1000,20260914_225554,20260914_231813
6,cnmf,concat_rawds,cnmf,concat_bands5z,True,False,0.5029761904761905,0.1982732142857143,0.20892857142857144,0.000999000999000999,0.38005837103098145,1680,1000,20260914_230430,20260914_231813
7,kmeans,concat_hg,kmeans,concat_rawds,True,False,0.37976190476190474,0.17426726190476188,0.18333333333333332,0.000999000999000999,0.24886338324330987,1680,1000,20260915_004134,20260915_004207
7,kmeans,concat_hg,kmeans,concat_bands5z,True,False,0.45535714285714285,0.17314404761904761,0.18154761904761904,0.000999000999000999,0.34130865772382185,1680,1000,20260915_004134,20260915_004310
7,kmeans,concat_hg,hierarchical,concat_hg,False,True,0.6327380952380952,0.17494345238095238,0.18452380952380953,0.000999000999000999,0.5548645655600806,1680,1000,20260915_004134,20260915_003616
7,kmeans,concat_hg,hierarchical,concat_rawds,False,False,0.33035714285714285,0.18000714285714287,0.18991071428571424,0.000999000999000999,0.1833552557078023,1680,1000,20260915_004134,20260915_003626
7,kmeans,concat_hg,hierarchical,concat_bands5z,False,False,0.39226190476190476,0.1741136904761905,0.18333333333333332,0.000999000999000999,0.26413831028570317,1680,1000,20260915_004134,20260915_003657
7,kmeans,concat_hg,cnmf,concat_hg,False,True,0.6880952380952381,0.1745529761904762,0.18452380952380953,0.000999000999000999,0.6221383651426968,1680,1000,20260915_004134,20260914_225554
7,kmeans,concat_hg,cnmf,concat_rawds,False,False,0.3732142857142857,0.1752565476190476,0.18452380952380953,0.000999000999000999,0.24002341276399808,1680,1000,20260915_004134,20260914_230430
7,kmeans,concat_hg,cnmf,concat_bands5z,False,False,0.45476190476190476,0.1733,0.18214285714285713,0.000999000999000999,0.3404643821965704,1680,1000,20260915_004134,20260914_231813
7,kmeans,concat_rawds,kmeans,concat_bands5z,True,False,0.5666666666666667,0.17513630952380954,0.18333333333333332,0.000999000999000999,0.4746606762589201,1680,1000,20260915_004207,20260915_004310
