comparison,axis,rank,weighting,cluster_1,cluster_2,r_centred,r_plain,overlap,n_1,n_2,null_plain_mean,null_plain_sd,z_plain,p_plain,null_within_mean,null_within_sd,z_within,p_within
cnmf_vs_hierarchical_concat_hg,A algorithms,8,hard,2,6,0.7041562997819493,0.5650357253228255,0.2727272727272727,140.0,126.0,0.053562260831396286,0.016951026655281053,12.92930607407169,0.000999000999000999,0.15970024224001986,0.016695459863063287,6.76992616042351,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,9,hard,8,8,0.4879592023163022,0.8263861884203052,0.265625,110.0,214.0,0.04745320979640623,0.014490299346043772,15.0564032525084,0.000999000999000999,0.24590398116364326,0.007682626636830581,2.5669630672684263,0.01898101898101898
cnmf_vs_hierarchical_concat_hg,A algorithms,1,weighted,5,3,0.9567940094186035,0.9131671324067241,0.2047663438385044,175.23667642174536,114.0,0.059258969063910184,0.014571632589352469,9.985660418100085,0.000999000999000999,0.08383904111924621,0.0056562363094585875,21.37946438288631,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,2,weighted,7,0,0.9340827650126082,0.8810239572114549,0.21011148382724432,185.19205203139686,180.0,0.061165041983869885,0.015636845132862245,9.52535121872826,0.000999000999000999,0.1344046558243412,0.00454308458790181,16.66419071406015,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,3,weighted,6,1,0.9323495827731112,0.9757787155901483,0.22397866507774863,234.3499499010714,268.0,0.06722146282721117,0.019706381204833014,7.954641728542863,0.000999000999000999,0.13485455212732272,0.004104173166855149,21.715485513667517,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,4,weighted,3,5,0.9131794749028808,0.5817883551968697,0.1125817817634657,202.29777490473555,45.0,0.06260929064401762,0.01709271530358099,2.923613377505834,0.000999000999000999,0.11122403000179315,0.0004974705436652254,2.7293108686777896,0.001998001998001998
cnmf_vs_hierarchical_concat_hg,A algorithms,5,weighted,0,7,0.8728834763258977,0.85455959886145,0.15907342786468373,189.87921933272654,222.0,0.06002579248063728,0.01587874500237532,6.237749606107398,0.000999000999000999,0.08458345032117048,0.005746697391233453,12.962223773457637,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,6,weighted,4,2,0.8436247782438855,0.9595484025263498,0.1761276735615964,163.8992768721488,218.0,0.056282884762230395,0.013939820355540087,8.59729793804238,0.000999000999000999,0.13150103668920773,0.0038123194673897838,11.705901683770378,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,7,weighted,1,4,0.7877729442033895,0.8629774257071244,0.16767235333713157,174.65444254523328,293.0,0.058242705204030513,0.01438962721294785,7.604759074970042,0.000999000999000999,0.08332190210601248,0.008396055027072625,10.046438590401758,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,8,weighted,2,6,0.7041562997819493,0.5650357253228255,0.12943108014965005,186.9730155067079,126.0,0.05927088907202097,0.015696004262054586,4.469939604134971,0.000999000999000999,0.08914050023931995,0.003641037734191137,11.065685898276119,0.000999000999000999
