method,feature,k_a,k_b,diagonal_share,null_mean,chance_corrected
hierarchical,concat_rawds,9,10,0.9439655172413793,0.14570812807881775,0.9344082688828503
hierarchical,concat_bands5z,6,7,0.8596059113300493,0.20017857142857143,0.824468207958981
hierarchical,concat_bands5z,6,8,0.8288177339901478,0.19708128078817735,0.7868000061352517
hierarchical,concat_bands5z,6,9,0.7173645320197044,0.16558497536945813,0.6612771107454117
hierarchical,concat_bands5z,6,10,0.7173645320197044,0.15967364532019704,0.6636598788003136
hierarchical,concat_bands5z,7,8,0.9692118226600985,0.17891625615763548,0.9625029997600192
hierarchical,concat_bands5z,7,9,0.8559113300492611,0.16173029556650245,0.8281118007859846
hierarchical,concat_bands5z,7,10,0.8306650246305419,0.15271551724137933,0.8001438963945959
hierarchical,concat_bands5z,8,9,0.8866995073891626,0.1579741379310345,0.8654429778054042
hierarchical,concat_bands5z,8,10,0.8614532019704434,0.15241995073891626,0.8365383916830734
hierarchical,concat_bands5z,9,10,0.9359605911330049,0.1442549261083744,0.9251653198822792
cnmf,concat_hg,6,7,0.7777093596059114,0.18613300492610838,0.7268710468177829
cnmf,concat_hg,6,8,0.6206896551724138,0.17207512315270931,0.541854151946748
cnmf,concat_hg,6,9,0.5985221674876847,0.1577832512315271,0.523308182722115
cnmf,concat_hg,6,10,0.5320197044334976,0.14339901477832512,0.4536776122836276
cnmf,concat_hg,7,8,0.645320197044335,0.16830049261083743,0.5735481387153137
cnmf,concat_hg,7,9,0.6582512315270936,0.15697660098522168,0.594615322810375
cnmf,concat_hg,7,10,0.5800492610837439,0.14467980295566504,0.5090134193399758
cnmf,concat_hg,8,9,0.8023399014778325,0.15675492610837438,0.765595904865528
cnmf,concat_hg,8,10,0.6213054187192119,0.14314655172413793,0.5580404303177079
cnmf,concat_hg,9,10,0.7192118226600985,0.1416933497536946,0.6728579730107828
cnmf,concat_rawds,6,7,0.7407635467980296,0.17613300492610834,0.6853418637328471
cnmf,concat_rawds,6,8,0.6816502463054187,0.1656034482758621,0.6184670789485337
cnmf,concat_rawds,6,9,0.5855911330049262,0.1550677339901478,0.5095359904385025
cnmf,concat_rawds,6,10,0.5529556650246306,0.1459975369458128,0.4765303915206576
cnmf,concat_rawds,7,8,0.8472906403940886,0.1618288177339902,0.8178064781551436
cnmf,concat_rawds,7,9,0.7684729064039408,0.15131157635467982,0.7271942362526935
cnmf,concat_rawds,7,10,0.6859605911330049,0.14230911330049262,0.633854791117748
cnmf,concat_rawds,8,9,0.8165024630541872,0.14991995073891626,0.7841408734326671
cnmf,concat_rawds,8,10,0.7241379310344828,0.14038177339901478,0.6790876921534076
cnmf,concat_rawds,9,10,0.7961822660098522,0.13864532019704434,0.7633753681621915
cnmf,concat_bands5z,6,7,0.7309113300492611,0.17839285714285713,0.672484992018227
cnmf,concat_bands5z,6,8,0.6687192118226601,0.16588054187192122,0.6028377171289153
cnmf,concat_bands5z,6,9,0.625615763546798,0.15102216748768474,0.5590176537998462
cnmf,concat_bands5z,6,10,0.5689655172413793,0.14224137931034483,0.49748743718592964
cnmf,concat_bands5z,7,8,0.7783251231527094,0.16184729064039405,0.7355197037820683
cnmf,concat_bands5z,7,9,0.6681034482758621,0.14943965517241378,0.6097907059240866
cnmf,concat_bands5z,7,10,0.6447044334975369,0.14195197044334973,0.585925782399334
cnmf,concat_bands5z,8,9,0.8214285714285714,0.1465024630541872,0.790776867136096
cnmf,concat_bands5z,8,10,0.729064039408867,0.1394150246305419,0.6851723323721549
cnmf,concat_bands5z,9,10,0.8294334975369458,0.13726600985221674,0.8022953721414909
