role,condition,n,onset_pct,onset_stim_pct,onset_resp_pct,peak_pct,peak_db
tag_low_f_erd,picture,562,71.83333333333333,,71.83333333333333,75.5,0.555974543094635
tag_low_f_erd,reading,562,,,,82.5,0.43458080291748047
tag_theta_tracking,audio,257,,,,67.16666666666667,0.4661596119403839
tag_theta_tracking,picture,257,60.49999999999999,,60.49999999999999,66.16666666666667,0.6159021854400635
tag_theta_tracking,reading,257,73.83333333333333,,73.83333333333333,76.5,0.5700831413269043
ultra_hfa,audio,98,19.166666666666668,19.166666666666668,55.83333333333333,67.5,1.9559078216552734
ultra_hfa,picture,98,58.49999999999999,,58.49999999999999,74.5,2.3373239040374756
ultra_hfa,reading,98,17.166666666666668,17.166666666666668,52.49999999999999,76.83333333333333,2.1632347106933594
visual_picture,audio,18,2.4999999999999996,2.4999999999999996,52.166666666666664,4.166666666666667,1.4096434116363525
visual_picture,picture,18,4.5,4.5,50.166666666666664,10.166666666666666,3.8417673110961914
visual_picture,reading,18,1.5,1.5,61.166666666666664,2.4999999999999996,2.6601452827453613
visual_reading,audio,5,9.166666666666666,9.166666666666666,50.166666666666664,71.83333333333333,1.376371145248413
visual_reading,picture,5,3.833333333333333,3.833333333333333,50.166666666666664,10.166666666666666,3.561586380004883
visual_reading,reading,5,0.5,0.5,50.166666666666664,3.1666666666666665,4.024758338928223
