section_first_used,also_used_in,status,git_last_commit,disk_mtime,path
lana,,stale,2026-08-03,2026-08-03,02_FBM_Clustering/outputs/clustering/atlas/lana_concat/lana_cards.png
lana,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/atlas_corr/fedorenko/fig8_bin_scatters.png
lana,,stale,2026-08-02,2026-08-02,04_FBM_Pooling/outputs/pooling/atlas_corr/fedorenko/fig9_corr_map_berlin.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig01.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig02.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig03.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig04.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig05.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig06.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig07.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig08.png
meetings,,stale,2026-07-28,2026-07-28,04_FBM_Pooling/outputs/pooling/meeting_notes/fig09.png
kiss,caveats,current,2026-08-25,2026-08-25,02_FBM_Clustering/outputs/clustering/explainers/E1_cnmf_explained.png
kiss,caveats,current,2026-08-25,2026-08-25,02_FBM_Clustering/outputs/clustering/explainers/E2_kmeans_explained.png
kiss,caveats,current,2026-08-25,2026-08-25,02_FBM_Clustering/outputs/clustering/explainers/E3_ward_explained.png
kiss,,current,2026-08-26,2026-08-26,02_FBM_Clustering/outputs/clustering/explainers/E4_what_the_halves_are.png
kiss,,current,2026-08-26,2026-08-26,02_FBM_Clustering/outputs/clustering/explainers/E7_spearman_vs_pearson.png
kiss,,current,2026-08-27,2026-08-27,02_FBM_Clustering/outputs/clustering/explainers/E8_band_schemes.png
kiss,,current,2026-08-28,2026-08-28,02_FBM_Clustering/outputs/clustering/explainers/E9_pipeline_flowchart.png
paper,,current,2026-09-03,2026-09-03,02_FBM_Clustering/outputs/clustering/paper_figures/GA_graphical_abstract_concat_hg_K8.png
caveats,,stale,2026-08-19,2026-08-19,02_FBM_Clustering/outputs/clustering/comparison/C7_separation.png
caveats,,stale,2026-08-18,2026-08-18,02_FBM_Clustering/outputs/clustering/decomposition/concat_hg/D3_graded_decomposition.png
caveats,,stale,2026-08-07,2026-08-07,02_FBM_Clustering/outputs/clustering/diagnostics/D1_why_the_clusters_are_fragile.png
caveats,,stale,2026-08-07,2026-08-07,02_FBM_Clustering/outputs/clustering/diagnostics/D2_patient_identity_is_coverage.png
caveats,,stale,2026-08-18,2026-08-18,02_FBM_Clustering/outputs/clustering/story/OPT_A_lead_with_types.png
caveats,,stale,2026-08-18,2026-08-18,02_FBM_Clustering/outputs/clustering/story/OPT_B_lead_with_evidence.png
caveats,,current,2026-08-20,2026-08-20,02_FBM_Clustering/outputs/clustering/cnmf/concat_hg/runs/20260818_112939/decomposition_drivers/D1_membership.png
caveats,,current,2026-08-19,2026-08-20,02_FBM_Clustering/outputs/clustering/cnmf/concat_hg/runs/20260818_112939/decomposition_drivers/D2_drivers.png
caveats,,current,2026-08-20,2026-08-20,02_FBM_Clustering/outputs/clustering/cnmf/concat_hg_all/runs/20260819_220417/decomposition_drivers/D1_membership.png
caveats,,current,2026-08-25,2026-08-25,02_FBM_Clustering/outputs/clustering/comparison/C12_separation_across_features.png
caveats,,current,2026-08-21,2026-08-21,02_FBM_Clustering/outputs/clustering/comparison/G1_silhouette_by_gate.png
caveats,,current,2026-08-21,2026-08-21,02_FBM_Clustering/outputs/clustering/comparison/G2_drivers_by_gate.png
caveats,,current,2026-08-21,2026-08-21,02_FBM_Clustering/outputs/clustering/component_anatomy/A1_component_anatomy.png
