x,y,z,n_contacts,median_w0,p_global_w0,p_within_patient_w0,sig_fdr_w0,sig_maxstat_w0,median_w1,p_global_w1,p_within_patient_w1,sig_fdr_w1,sig_maxstat_w1,median_w2,p_global_w2,p_within_patient_w2,sig_fdr_w2,sig_maxstat_w2,median_w3,p_global_w3,p_within_patient_w3,sig_fdr_w3,sig_maxstat_w3,median_w4,p_global_w4,p_within_patient_w4,sig_fdr_w4,sig_maxstat_w4,median_w5,p_global_w5,p_within_patient_w5,sig_fdr_w5,sig_maxstat_w5,median_w6,p_global_w6,p_within_patient_w6,sig_fdr_w6,sig_maxstat_w6
-62.0,-8.0,-28.0,20,0.1244,0.403,0.8037,False,False,0.001,0.9934,0.8808,False,False,0.0029,0.974,0.9854,False,False,0.1113,0.6481,0.8687,False,False,0.0769,0.7804,0.8147,False,False,0.4167,0.0001,0.0001,True,False,0.0663,0.8673,0.7983,False,False
-62.0,-8.0,-26.0,20,0.1244,0.4015,0.8108,False,False,0.0019,0.9908,0.863,False,False,0.0244,0.8078,0.6247,False,False,0.1113,0.6508,0.8048,False,False,0.0641,0.8382,0.882,False,False,0.3978,0.0001,0.0001,True,False,0.0735,0.8238,0.7204,False,False
-60.0,-10.0,-28.0,18,0.0592,0.9157,0.9421,False,False,0.0087,0.9682,0.8115,False,False,0.0022,0.9748,0.9785,False,False,0.0725,0.9278,0.9569,False,False,0.1752,0.12,0.0466,False,False,0.2909,0.0004,0.0001,True,False,0.1313,0.2157,0.4137,False,False
-60.0,-10.0,-26.0,21,0.0562,0.9348,0.9379,False,False,0.0084,0.9708,0.8684,False,False,0.0028,0.9737,0.9758,False,False,0.0747,0.9269,0.9629,False,False,0.1855,0.0757,0.026,False,False,0.3689,0.0001,0.0002,True,False,0.1249,0.2576,0.4563,False,False
-60.0,-10.0,-24.0,19,0.0562,0.9257,0.828,False,False,0.009,0.9654,0.9183,False,False,0.0786,0.4387,0.6426,False,False,0.0821,0.8772,0.8666,False,False,0.165,0.1896,0.0327,False,False,0.3981,0.0001,0.0003,True,False,0.1636,0.0476,0.0725,False,False
-60.0,-8.0,-28.0,22,0.1205,0.4454,0.7788,False,False,0.0019,0.9919,0.8794,False,False,0.0029,0.9805,0.9901,False,False,0.0962,0.7971,0.9481,False,False,0.0769,0.7874,0.788,False,False,0.3768,0.0001,0.0001,True,False,0.0663,0.8796,0.8873,False,False
-60.0,-8.0,-26.0,24,0.1142,0.5178,0.7882,False,False,0.0019,0.9941,0.9269,False,False,0.0152,0.8829,0.8617,False,False,0.0962,0.8046,0.9339,False,False,0.0769,0.7931,0.8132,False,False,0.3768,0.0001,0.0001,True,False,0.0826,0.7725,0.801,False,False
-60.0,-8.0,-24.0,18,0.0905,0.7321,0.6527,False,False,0.0058,0.9764,0.9804,False,False,0.0778,0.4571,0.6232,False,False,0.0826,0.8729,0.8508,False,False,0.1244,0.4214,0.177,False,False,0.3711,0.0001,0.0002,True,False,0.1297,0.2378,0.3484,False,False
-58.0,-22.0,-30.0,10,0.0289,0.952,0.7746,False,False,0.0492,0.6922,0.4154,False,False,0.1276,0.2361,0.0259,False,False,0.004,0.9903,0.9713,False,False,0.2313,0.0413,0.1763,False,False,0.2066,0.0538,0.0002,True,False,0.0747,0.7282,0.9395,False,False
-58.0,-22.0,-28.0,13,0.0323,0.9491,0.8345,False,False,0.0717,0.4971,0.2054,False,False,0.1199,0.2659,0.0878,False,False,0.008,0.9869,0.9231,False,False,0.0598,0.7876,0.706,False,False,0.2557,0.0121,0.0003,True,False,0.151,0.1364,0.6741,False,False
-58.0,-22.0,-26.0,15,0.0378,0.9525,0.9528,False,False,0.0717,0.4934,0.3199,False,False,0.0319,0.7263,0.406,False,False,0.0408,0.9741,0.8001,False,False,0.1935,0.0801,0.0999,False,False,0.2557,0.0083,0.0008,True,False,0.1185,0.3624,0.6453,False,False
-56.0,-22.0,-28.0,12,0.0351,0.946,0.8302,False,False,0.0607,0.5936,0.3185,False,False,0.1276,0.2159,0.1068,False,False,0.0244,0.9814,0.9179,False,False,0.0312,0.9168,0.8179,False,False,0.2066,0.0381,0.0005,True,False,0.2076,0.0226,0.4807,False,False
-56.0,-22.0,-26.0,13,0.082,0.7473,0.742,False,False,0.0717,0.4957,0.2931,False,False,0.0971,0.3648,0.1396,False,False,0.0408,0.9639,0.8234,False,False,0.1935,0.0966,0.0935,False,False,0.2502,0.0135,0.0002,True,False,0.1185,0.3772,0.6587,False,False
-54.0,-22.0,-26.0,11,0.088,0.716,0.8245,False,False,0.0717,0.4935,0.3553,False,False,0.0971,0.3755,0.1594,False,False,0.0408,0.9514,0.8618,False,False,0.0598,0.7704,0.689,False,False,0.2502,0.0202,0.0005,True,False,0.1185,0.3879,0.6111,False,False
-50.0,-12.0,-30.0,15,0.0444,0.9292,0.9613,False,False,0.1142,0.1297,0.0287,False,False,0.0085,0.8664,0.6745,False,False,0.0009,0.9962,0.9868,False,False,0.2511,0.0079,0.0019,False,False,0.2546,0.0081,0.0005,True,False,0.0493,0.8968,0.9806,False,False
-58.0,-10.0,-24.0,19,0.0554,0.9251,0.8116,False,False,0.029,0.896,0.9323,False,False,0.0016,0.9782,0.9957,False,False,0.076,0.908,0.8524,False,False,0.216,0.0252,0.0007,False,False,0.3919,0.0001,0.0001,True,False,0.1038,0.5078,0.7857,False,False
-54.0,-10.0,-30.0,21,0.0444,0.9598,0.9538,False,False,0.1258,0.0471,0.0361,False,False,0.0079,0.9112,0.7807,False,False,0.0001,0.9998,0.9993,False,False,0.2751,0.0011,0.001,False,False,0.2631,0.001,0.0003,True,False,0.0368,0.9564,0.9881,False,False
