sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
416,5,4,4,3,13,2,4,4,6,14,7
417,5,4,4,3,13,2,4,4,6,13,7
418,5,4,2,6,7,8,2,2,3,13,11
419,5,4,2,6,7,8,2,2,3,13,11
420,0,2,1,8,8,0,14,6,11,5,6
421,7,0,0,2,1,5,6,14,4,12,2
422,9,7,6,12,6,11,15,10,5,9,1
423,9,7,6,12,6,11,15,10,5,9,1
424,6,9,7,0,0,6,0,15,16,15,4
425,5,4,2,6,7,8,2,2,3,3,2
426,9,0,2,6,7,8,2,14,3,1,2
427,9,0,6,12,6,9,2,14,3,1,2
428,5,4,2,6,7,8,2,2,3,3,14
429,2,8,11,10,3,13,8,8,8,7,17
430,2,8,11,10,3,13,8,8,8,7,17
431,2,8,11,10,3,13,8,8,8,7,17
432,2,8,11,10,3,13,8,8,6,7,17
433,5,4,2,6,7,8,2,2,3,3,14
434,9,7,6,12,6,9,7,10,5,1,1
435,9,7,6,12,6,11,15,10,5,9,1
436,9,7,6,12,6,9,7,14,5,1,2
437,9,0,6,12,6,9,7,14,5,1,2
438,9,7,6,12,6,9,7,10,5,9,1
439,9,7,6,12,6,11,15,10,5,9,1
440,4,3,3,4,9,3,14,12,11,18,6
441,3,6,9,1,5,7,10,7,2,8,0
442,9,7,6,12,6,11,15,10,5,9,1
443,9,7,6,12,6,9,7,10,5,1,1
444,9,7,6,12,6,9,7,10,5,1,1
445,7,0,0,2,4,5,6,14,4,12,2
446,9,7,6,12,6,11,7,10,5,9,1
447,9,7,6,12,6,11,15,10,5,9,1
448,9,0,6,12,6,9,7,14,5,1,2
449,9,7,6,12,6,9,7,10,5,9,1
450,9,7,6,12,6,9,7,10,5,1,1
451,9,7,6,12,6,11,15,10,5,9,1
452,9,7,6,12,6,11,15,10,5,9,1
453,9,7,6,12,6,11,15,10,5,9,1
454,9,7,6,12,6,9,7,10,5,1,1
455,9,7,6,12,6,11,15,10,5,9,1
456,9,7,6,12,6,11,15,10,5,9,1
457,9,7,6,12,6,11,15,10,5,9,1
458,9,7,6,12,6,11,15,10,5,9,1
459,9,7,6,12,6,11,15,10,5,9,1
460,9,7,6,12,6,9,7,10,5,1,1
461,9,7,6,12,6,11,15,10,5,9,1
462,9,0,6,12,6,9,7,14,5,1,2
463,9,0,0,2,4,9,7,14,1,1,2
464,9,7,6,12,6,9,7,10,5,9,1
465,9,7,6,12,6,9,7,10,5,9,1
466,9,7,6,12,6,11,15,10,5,9,1
467,9,7,6,12,6,11,15,10,5,9,1
468,7,0,0,2,4,9,6,14,1,1,2
469,9,0,6,12,6,9,7,14,5,1,2
470,6,9,7,0,0,6,0,15,0,15,4
471,6,9,7,0,0,6,0,15,0,15,4
472,0,2,1,11,8,10,12,1,9,0,5
473,0,2,1,11,8,10,12,1,0,0,5
474,0,2,1,11,8,10,12,1,0,0,5
475,6,9,7,0,0,6,0,15,0,15,4
476,0,2,1,8,8,0,12,6,0,5,6
477,6,9,7,0,0,6,0,15,0,15,4
478,9,4,2,6,7,8,2,2,3,13,11
479,9,7,6,12,6,11,15,10,5,9,1
480,9,7,6,12,6,11,15,10,5,9,1
481,5,4,2,6,7,8,2,2,3,13,11
482,5,4,2,6,7,8,2,2,3,13,11
483,5,4,2,6,7,8,2,2,3,13,11
484,2,4,4,3,7,8,4,4,6,13,11
485,5,4,2,6,7,8,2,2,3,13,11
486,0,7,1,11,8,11,15,1,9,9,12
487,9,7,6,12,6,9,7,10,5,1,1
488,9,7,6,12,6,11,15,10,5,9,1
489,9,7,6,12,6,9,7,10,5,1,1
490,9,7,6,12,6,11,15,10,5,9,1
491,9,7,6,12,6,11,15,10,5,9,1
492,4,3,3,4,2,3,3,0,12,2,3
493,7,1,8,7,1,14,9,11,15,4,9
494,9,7,6,12,6,11,15,10,5,9,1
495,9,7,6,12,6,9,7,10,5,9,1
496,0,2,1,11,8,10,12,1,0,0,5
497,9,0,2,6,7,8,2,14,3,1,2
498,5,4,2,6,7,8,2,2,3,3,14
499,9,7,6,12,6,11,15,10,5,9,1
500,0,7,1,11,8,11,15,10,9,9,1
501,9,7,6,12,6,11,15,10,5,9,1
502,9,7,6,12,6,11,15,10,5,9,1
503,9,7,6,12,6,11,15,10,5,9,1
504,9,7,6,12,6,11,15,10,5,9,1
505,9,7,6,12,6,11,15,10,5,9,1
506,9,7,6,12,6,9,7,10,5,1,1
507,9,7,6,12,6,9,7,10,5,1,1
508,0,7,1,11,8,11,15,10,9,9,1
509,0,2,1,11,8,10,5,1,9,0,12
510,9,7,6,12,6,11,15,10,5,9,1
511,0,7,1,11,8,11,15,10,9,9,12
512,4,3,3,4,9,3,3,12,13,16,3
513,8,5,10,5,12,4,13,13,7,10,18
514,8,5,10,5,12,4,13,13,7,10,18
515,4,3,3,4,9,3,3,12,13,16,3
516,4,3,3,4,9,3,3,12,13,16,3
517,9,7,6,12,6,9,7,10,5,9,1
518,9,7,6,12,6,9,7,14,5,1,2
519,7,0,0,2,4,5,7,5,1,1,3
520,8,5,10,5,12,4,13,13,7,10,18
521,7,0,0,2,4,9,7,5,1,1,3
522,1,10,5,9,10,1,3,5,13,16,3
523,4,3,3,4,9,3,3,12,13,16,3
524,9,0,6,12,6,9,7,5,13,16,3
525,1,10,5,9,2,1,3,5,13,16,3
526,9,7,6,12,6,9,7,10,13,16,1
527,4,3,6,4,9,3,3,5,13,16,3
