sample_idx,patient_id,condition,task,electrode,file_path,keep_for_clustering,leaf_label,cluster_hc_blob_k20_average
126,EL030,picture,LM,aH_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L10_TN.npy,True,EL030_aH_L10_picture,20
127,EL030,picture,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L11_TN.npy,True,EL030_aH_L11_picture,13
128,EL030,picture,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L12_TN.npy,True,EL030_aH_L12_picture,11
133,EL030,picture,LM,aH_L5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L5_TN.npy,True,EL030_aH_L5_picture,10
135,EL030,picture,LM,aH_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L7_TN.npy,True,EL030_aH_L7_picture,18
166,EL030,picture,LM,EntG_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R7_TN.npy,True,EL030_EntG_R7_picture,14
167,EL030,picture,LM,EntG_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_EntG_R8_TN.npy,True,EL030_EntG_R8_picture,1
182,EL030,picture,LM,pHG_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R12_TN.npy,True,EL030_pHG_R12_picture,3
183,EL030,picture,LM,pHG_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R13_TN.npy,True,EL030_pHG_R13_picture,18
184,EL030,picture,LM,pHG_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R14_TN.npy,True,EL030_pHG_R14_picture,3
185,EL030,picture,LM,pHG_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R15_TN.npy,True,EL030_pHG_R15_picture,18
186,EL030,picture,LM,pHG_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R1_TN.npy,True,EL030_pHG_R1_picture,16
187,EL030,picture,LM,pHG_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R2_TN.npy,True,EL030_pHG_R2_picture,15
188,EL030,picture,LM,pHG_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_pHG_R3_TN.npy,True,EL030_pHG_R3_picture,16
194,EL030,reading,LM,A_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L10_TN.npy,True,EL030_A_L10_reading,18
195,EL030,reading,LM,A_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L11_TN.npy,True,EL030_A_L11_reading,20
196,EL030,reading,LM,A_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L12_TN.npy,True,EL030_A_L12_reading,18
197,EL030,reading,LM,A_L13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L13_TN.npy,True,EL030_A_L13_reading,17
198,EL030,reading,LM,A_L14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L14_TN.npy,True,EL030_A_L14_reading,17
199,EL030,reading,LM,A_L15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L15_TN.npy,True,EL030_A_L15_reading,19
206,EL030,reading,LM,A_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L7_TN.npy,True,EL030_A_L7_reading,17
208,EL030,reading,LM,A_L9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_A_L9_TN.npy,True,EL030_A_L9_reading,18
224,EL030,reading,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_aH_L11_TN.npy,True,EL030_aH_L11_reading,19
225,EL030,reading,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_aH_L12_TN.npy,True,EL030_aH_L12_reading,17
231,EL030,reading,LM,aH_L6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_aH_L6_TN.npy,True,EL030_aH_L6_reading,18
232,EL030,reading,LM,aH_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_aH_L7_TN.npy,True,EL030_aH_L7_reading,20
233,EL030,reading,LM,aH_L8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_aH_L8_TN.npy,True,EL030_aH_L8_reading,17
267,EL030,reading,LM,pH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pH_R11_TN.npy,True,EL030_pH_R11_reading,17
278,EL030,reading,LM,pHG_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pHG_R11_TN.npy,True,EL030_pHG_R11_reading,20
279,EL030,reading,LM,pHG_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pHG_R12_TN.npy,True,EL030_pHG_R12_reading,19
280,EL030,reading,LM,pHG_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pHG_R13_TN.npy,True,EL030_pHG_R13_reading,11
281,EL030,reading,LM,pHG_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pHG_R14_TN.npy,True,EL030_pHG_R14_reading,17
282,EL030,reading,LM,pHG_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\reading\EL030_reading_WM_ERSP_pHG_R15_TN.npy,True,EL030_pHG_R15_reading,18
337,EL035,audio,LM,aI_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_aI_R5_TN.npy,True,EL035_aI_R5_audio,19
399,EL035,audio,LM,TTG_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R1_TN.npy,True,EL035_TTG_R1_audio,14
400,EL035,audio,LM,TTG_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R2_TN.npy,True,EL035_TTG_R2_audio,4
401,EL035,audio,LM,TTG_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R3_TN.npy,True,EL035_TTG_R3_audio,12
402,EL035,audio,LM,TTG_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R4_TN.npy,True,EL035_TTG_R4_audio,13
403,EL035,audio,LM,TTG_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R5_TN.npy,True,EL035_TTG_R5_audio,12
404,EL035,audio,LM,TTG_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\audio\EL035_audio_WM_ERSP_TTG_R6_TN.npy,True,EL035_TTG_R6_audio,12
452,EL035,picture,LM,aI_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\picture\EL035_picture_WM_ERSP_aI_R5_TN.npy,True,EL035_aI_R5_picture,5
459,EL035,picture,LM,EntG_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\picture\EL035_picture_WM_ERSP_EntG_R10_TN.npy,True,EL035_EntG_R10_picture,13
460,EL035,picture,LM,EntG_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\picture\EL035_picture_WM_ERSP_EntG_R11_TN.npy,True,EL035_EntG_R11_picture,10
567,EL035,reading,LM,aI_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL035\LM\ERSP_matrix\reading\EL035_reading_WM_ERSP_aI_R5_TN.npy,True,EL035_aI_R5_reading,6
637,EL036,audio,LM,A_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_A_R11_TN.npy,True,EL036_A_R11_audio,17
638,EL036,audio,LM,A_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_A_R12_TN.npy,True,EL036_A_R12_audio,20
649,EL036,audio,LM,aH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_aH_R11_TN.npy,True,EL036_aH_R11_audio,20
650,EL036,audio,LM,aH_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_aH_R12_TN.npy,True,EL036_aH_R12_audio,17
663,EL036,audio,LM,mH_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_mH_R13_TN.npy,True,EL036_mH_R13_audio,5
665,EL036,audio,LM,mH_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_mH_R15_TN.npy,True,EL036_mH_R15_audio,5
683,EL036,audio,LM,pfc_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_pfc_R10_TN.npy,True,EL036_pfc_R10_audio,18
684,EL036,audio,LM,pfc_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_pfc_R11_TN.npy,True,EL036_pfc_R11_audio,20
685,EL036,audio,LM,pfc_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\audio\EL036_audio_None_ERSP_pfc_R12_TN.npy,True,EL036_pfc_R12_audio,20
695,EL036,picture,LM,A_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\picture\EL036_picture_None_ERSP_A_R11_TN.npy,True,EL036_A_R11_picture,19
696,EL036,picture,LM,A_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\picture\EL036_picture_None_ERSP_A_R12_TN.npy,True,EL036_A_R12_picture,11
742,EL036,picture,LM,pfc_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\picture\EL036_picture_None_ERSP_pfc_R11_TN.npy,True,EL036_pfc_R11_picture,20
743,EL036,picture,LM,pfc_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\picture\EL036_picture_None_ERSP_pfc_R12_TN.npy,True,EL036_pfc_R12_picture,11
752,EL036,reading,LM,A_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R10_TN.npy,True,EL036_A_R10_reading,18
753,EL036,reading,LM,A_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R11_TN.npy,True,EL036_A_R11_reading,20
754,EL036,reading,LM,A_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R12_TN.npy,True,EL036_A_R12_reading,20
755,EL036,reading,LM,A_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R1_TN.npy,True,EL036_A_R1_reading,18
756,EL036,reading,LM,A_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R2_TN.npy,True,EL036_A_R2_reading,20
758,EL036,reading,LM,A_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R4_TN.npy,True,EL036_A_R4_reading,19
759,EL036,reading,LM,A_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R5_TN.npy,True,EL036_A_R5_reading,17
760,EL036,reading,LM,A_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R6_TN.npy,True,EL036_A_R6_reading,19
761,EL036,reading,LM,A_R7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R7_TN.npy,True,EL036_A_R7_reading,19
762,EL036,reading,LM,A_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R8_TN.npy,True,EL036_A_R8_reading,18
763,EL036,reading,LM,A_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_A_R9_TN.npy,True,EL036_A_R9_reading,17
764,EL036,reading,LM,aH_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R10_TN.npy,True,EL036_aH_R10_reading,17
765,EL036,reading,LM,aH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R11_TN.npy,True,EL036_aH_R11_reading,19
766,EL036,reading,LM,aH_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R12_TN.npy,True,EL036_aH_R12_reading,18
770,EL036,reading,LM,aH_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R4_TN.npy,True,EL036_aH_R4_reading,17
771,EL036,reading,LM,aH_R5,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R5_TN.npy,True,EL036_aH_R5_reading,18
772,EL036,reading,LM,aH_R6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R6_TN.npy,True,EL036_aH_R6_reading,18
775,EL036,reading,LM,aH_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_aH_R9_TN.npy,True,EL036_aH_R9_reading,19
799,EL036,reading,LM,pfc_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R10_TN.npy,True,EL036_pfc_R10_reading,11
800,EL036,reading,LM,pfc_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R11_TN.npy,True,EL036_pfc_R11_reading,11
801,EL036,reading,LM,pfc_R12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R12_TN.npy,True,EL036_pfc_R12_reading,11
804,EL036,reading,LM,pfc_R3,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R3_TN.npy,True,EL036_pfc_R3_reading,19
805,EL036,reading,LM,pfc_R4,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R4_TN.npy,True,EL036_pfc_R4_reading,17
809,EL036,reading,LM,pfc_R9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL036\LM\ERSP_matrix\reading\EL036_reading_None_ERSP_pfc_R9_TN.npy,True,EL036_pfc_R9_reading,20
1059,EL037,reading,LM,EntG_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL037\LM\ERSP_matrix\reading\EL037_reading_WM_ERSP_EntG_L11_TN.npy,True,EL037_EntG_L11_reading,4
1181,EL038,picture,LM,A_L1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL038\LM\ERSP_matrix\picture\EL038_picture_WM_ERSP_A_L1_TN.npy,True,EL038_A_L1_picture,19
1207,EL038,picture,LM,aI_R8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL038\LM\ERSP_matrix\picture\EL038_picture_WM_ERSP_aI_R8_TN.npy,True,EL038_aI_R8_picture,18
1246,EL038,picture,LM,pH_R1,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL038\LM\ERSP_matrix\picture\EL038_picture_WM_ERSP_pH_R1_TN.npy,True,EL038_pH_R1_picture,16
1247,EL038,picture,LM,pH_R2,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL038\LM\ERSP_matrix\picture\EL038_picture_WM_ERSP_pH_R2_TN.npy,True,EL038_pH_R2_picture,10
1349,EL040,audio,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\audio\EL040_audio_None_ERSP_aH_L12_TN.npy,True,EL040_aH_L12_audio,5
1437,EL040,audio,LM,pH_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\audio\EL040_audio_None_ERSP_pH_R14_TN.npy,True,EL040_pH_R14_audio,9
1456,EL040,audio,LM,pPVH_L16,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\audio\EL040_audio_None_ERSP_pPVH_L16_TN.npy,True,EL040_pPVH_L16_audio,10
1482,EL040,picture,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\picture\EL040_picture_None_ERSP_aH_L12_TN.npy,True,EL040_aH_L12_picture,18
1589,EL040,picture,LM,pPVH_L16,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\picture\EL040_picture_None_ERSP_pPVH_L16_TN.npy,True,EL040_pPVH_L16_picture,17
1615,EL040,reading,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\reading\EL040_reading_None_ERSP_aH_L12_TN.npy,True,EL040_aH_L12_reading,19
1703,EL040,reading,LM,pH_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\reading\EL040_reading_None_ERSP_pH_R14_TN.npy,True,EL040_pH_R14_reading,7
1722,EL040,reading,LM,pPVH_L16,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL040\LM\ERSP_matrix\reading\EL040_reading_None_ERSP_pPVH_L16_TN.npy,True,EL040_pPVH_L16_reading,17
1775,EL042,audio,LM,aH_R10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL042\LM\ERSP_matrix\audio\EL042_audio_WM_ERSP_aH_R10_TN.npy,True,EL042_aH_R10_audio,19
1776,EL042,audio,LM,aH_R11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL042\LM\ERSP_matrix\audio\EL042_audio_WM_ERSP_aH_R11_TN.npy,True,EL042_aH_R11_audio,20
