feature_set,scheme,method_label,k,mean,std,count
concat_hg_all,unit-norm,convex NMF,2,0.29168799290538405,0.01678248504912827,16
concat_hg_all,unit-norm,convex NMF,3,0.3550330012016434,0.016413242895861067,16
concat_hg_all,unit-norm,convex NMF,4,0.40620094103610394,0.013563169203036513,16
concat_hg_all,unit-norm,convex NMF,5,0.4425311591903818,0.013286062274540838,16
concat_hg_all,unit-norm,convex NMF,6,0.4555907670580189,0.012168790318583944,16
concat_hg_all,unit-norm,convex NMF,7,0.46944764754675816,0.01192911883013175,16
concat_hg_all,unit-norm,convex NMF,8,0.4799575019505042,0.01313886042233886,16
concat_hg_all,unit-norm,convex NMF,10,0.49571867139437953,0.011389936789078679,16
concat_hg_all,unit-norm,convex NMF,12,0.5050660537919153,0.011159189697633002,16
concat_hg_all,unit-norm,convex NMF,14,0.5059351230469185,0.011023385703134483,16
concat_hg_all,unit-norm,convex NMF,16,0.5041184207943813,0.010919063095898287,16
concat_hg_all,unit-norm,convex NMF,18,0.4995722368466931,0.010122870839815579,16
concat_hg_all,unit-norm,convex NMF,20,0.49683911682979054,0.01119037954707511,16
concat_hg_all,unit-norm,k-means,2,0.19769838291219993,0.010863099736762976,16
concat_hg_all,unit-norm,k-means,3,0.24553885718863197,0.013096996240378272,16
concat_hg_all,unit-norm,k-means,4,0.27135417475611073,0.011683055115841173,16
concat_hg_all,unit-norm,k-means,5,0.2909726055243377,0.01110002655619936,16
concat_hg_all,unit-norm,k-means,6,0.30312934297245003,0.012574216124878315,16
concat_hg_all,unit-norm,k-means,7,0.3142262269648945,0.013199513156521306,16
concat_hg_all,unit-norm,k-means,8,0.3243516592898753,0.012280261537934873,16
concat_hg_all,unit-norm,k-means,10,0.3443502324121978,0.01230878259228844,16
concat_hg_all,unit-norm,k-means,12,0.3609194781703432,0.012871848785861327,16
concat_hg_all,unit-norm,k-means,14,0.3728547409156613,0.013192045674199028,16
concat_hg_all,unit-norm,k-means,16,0.3806335220090741,0.012234965153038168,16
concat_hg_all,unit-norm,k-means,18,0.3892426735423187,0.013059406408526807,16
concat_hg_all,unit-norm,k-means,20,0.39447582868548065,0.013308083661813552,16
concat_rawds,home,Ward,2,0.17846747435069016,0.015366261066789389,16
concat_rawds,home,Ward,3,0.23747437160657586,0.02008806257442065,16
concat_rawds,home,Ward,4,0.2728697351017503,0.019550178324347117,16
concat_rawds,home,Ward,5,0.2923811478021664,0.017306596035325687,16
concat_rawds,home,Ward,6,0.30687657776517324,0.018079550339880318,16
concat_rawds,home,Ward,7,0.3208598831527155,0.02054408738074664,16
concat_rawds,home,Ward,8,0.33272108925055777,0.02126402165535256,16
concat_rawds,home,Ward,10,0.35335096490438983,0.022936833076561955,16
concat_rawds,home,Ward,12,0.37094515723836974,0.022122927529998667,16
concat_rawds,home,Ward,14,0.3847727984955377,0.019728287943367163,16
concat_rawds,home,Ward,16,0.39635440842585296,0.019414932966693433,16
concat_rawds,home,Ward,18,0.4082411218018079,0.0193645822167774,16
concat_rawds,home,Ward,20,0.4190191663015579,0.019587819255800488,16
concat_rawds,home,convex NMF,2,0.25728032344877744,0.018048044051784253,16
concat_rawds,home,convex NMF,3,0.31788764566263483,0.02071048182444613,16
concat_rawds,home,convex NMF,4,0.36159889748660917,0.01931442061946277,16
concat_rawds,home,convex NMF,5,0.39352802513366597,0.020128612573519954,16
concat_rawds,home,convex NMF,6,0.4079171210673189,0.01830371996232541,16
