k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
15,2,0,0.5113687660793087,concat_hg,hierarchical,Ward,dB,home,1693,900
15,2,1,0.5355642751341103,concat_hg,hierarchical,Ward,dB,home,1693,900
15,2,2,0.5039779663573418,concat_hg,hierarchical,Ward,dB,home,1693,900
15,2,3,0.5256345671023466,concat_hg,hierarchical,Ward,dB,home,1693,900
15,3,0,0.5153574332328827,concat_hg,hierarchical,Ward,dB,home,1693,900
15,3,1,0.530968994918228,concat_hg,hierarchical,Ward,dB,home,1693,900
15,3,2,0.5228351569300371,concat_hg,hierarchical,Ward,dB,home,1693,900
15,3,3,0.5143115490214826,concat_hg,hierarchical,Ward,dB,home,1693,900
16,0,0,0.5001930120117601,concat_hg,hierarchical,Ward,dB,home,1693,900
16,0,1,0.5246739214349284,concat_hg,hierarchical,Ward,dB,home,1693,900
16,0,2,0.516695538390638,concat_hg,hierarchical,Ward,dB,home,1693,900
16,0,3,0.5153084664537672,concat_hg,hierarchical,Ward,dB,home,1693,900
16,1,0,0.554233461894567,concat_hg,hierarchical,Ward,dB,home,1693,900
16,1,1,0.5652937344956468,concat_hg,hierarchical,Ward,dB,home,1693,900
16,1,2,0.5408683478998861,concat_hg,hierarchical,Ward,dB,home,1693,900
16,1,3,0.5563308683851693,concat_hg,hierarchical,Ward,dB,home,1693,900
16,2,0,0.5117558917473699,concat_hg,hierarchical,Ward,dB,home,1693,900
16,2,1,0.5414120725626712,concat_hg,hierarchical,Ward,dB,home,1693,900
16,2,2,0.5165770618047233,concat_hg,hierarchical,Ward,dB,home,1693,900
16,2,3,0.5371451314975342,concat_hg,hierarchical,Ward,dB,home,1693,900
16,3,0,0.519892083603445,concat_hg,hierarchical,Ward,dB,home,1693,900
16,3,1,0.5362599856472179,concat_hg,hierarchical,Ward,dB,home,1693,900
16,3,2,0.5263086843339685,concat_hg,hierarchical,Ward,dB,home,1693,900
16,3,3,0.5254932511365125,concat_hg,hierarchical,Ward,dB,home,1693,900
17,0,0,0.5032771945671632,concat_hg,hierarchical,Ward,dB,home,1693,900
17,0,1,0.5315871339575351,concat_hg,hierarchical,Ward,dB,home,1693,900
17,0,2,0.5208930802405269,concat_hg,hierarchical,Ward,dB,home,1693,900
17,0,3,0.5212004286431006,concat_hg,hierarchical,Ward,dB,home,1693,900
17,1,0,0.5546814179439914,concat_hg,hierarchical,Ward,dB,home,1693,900
17,1,1,0.5746338791459307,concat_hg,hierarchical,Ward,dB,home,1693,900
17,1,2,0.5466069255465279,concat_hg,hierarchical,Ward,dB,home,1693,900
17,1,3,0.5599284801823597,concat_hg,hierarchical,Ward,dB,home,1693,900
17,2,0,0.5168441543355318,concat_hg,hierarchical,Ward,dB,home,1693,900
17,2,1,0.5412128329433128,concat_hg,hierarchical,Ward,dB,home,1693,900
17,2,2,0.5229079271273119,concat_hg,hierarchical,Ward,dB,home,1693,900
17,2,3,0.5413816896694192,concat_hg,hierarchical,Ward,dB,home,1693,900
17,3,0,0.5245269144260628,concat_hg,hierarchical,Ward,dB,home,1693,900
17,3,1,0.5400631408660104,concat_hg,hierarchical,Ward,dB,home,1693,900
17,3,2,0.5303156901905803,concat_hg,hierarchical,Ward,dB,home,1693,900
17,3,3,0.5318897631689017,concat_hg,hierarchical,Ward,dB,home,1693,900
18,0,0,0.5150589680605164,concat_hg,hierarchical,Ward,dB,home,1693,900
18,0,1,0.5358127031870903,concat_hg,hierarchical,Ward,dB,home,1693,900
18,0,2,0.5257793380456453,concat_hg,hierarchical,Ward,dB,home,1693,900
