k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
12,2,2,0.5163422245946593,concat_hg,kmeans,k-means,dB,home,1266,900
12,2,3,0.5164217669190452,concat_hg,kmeans,k-means,dB,home,1266,900
12,3,0,0.48679283811838203,concat_hg,kmeans,k-means,dB,home,1266,900
12,3,1,0.48460668732306134,concat_hg,kmeans,k-means,dB,home,1266,900
12,3,2,0.528647827111959,concat_hg,kmeans,k-means,dB,home,1266,900
12,3,3,0.5212850243301286,concat_hg,kmeans,k-means,dB,home,1266,900
14,0,0,0.5334975517962456,concat_hg,kmeans,k-means,dB,home,1266,900
14,0,1,0.5160558883159586,concat_hg,kmeans,k-means,dB,home,1266,900
14,0,2,0.5607482792971326,concat_hg,kmeans,k-means,dB,home,1266,900
14,0,3,0.557658576801061,concat_hg,kmeans,k-means,dB,home,1266,900
14,1,0,0.5463631707918337,concat_hg,kmeans,k-means,dB,home,1266,900
14,1,1,0.5435432586477684,concat_hg,kmeans,k-means,dB,home,1266,900
14,1,2,0.5890508718451606,concat_hg,kmeans,k-means,dB,home,1266,900
14,1,3,0.5752674174239958,concat_hg,kmeans,k-means,dB,home,1266,900
14,2,0,0.5082143101185024,concat_hg,kmeans,k-means,dB,home,1266,900
14,2,1,0.5072308729186841,concat_hg,kmeans,k-means,dB,home,1266,900
14,2,2,0.5418826913895185,concat_hg,kmeans,k-means,dB,home,1266,900
14,2,3,0.5354294822761707,concat_hg,kmeans,k-means,dB,home,1266,900
14,3,0,0.5071687822324187,concat_hg,kmeans,k-means,dB,home,1266,900
14,3,1,0.5136574321220698,concat_hg,kmeans,k-means,dB,home,1266,900
14,3,2,0.5427180645903249,concat_hg,kmeans,k-means,dB,home,1266,900
14,3,3,0.532008164266883,concat_hg,kmeans,k-means,dB,home,1266,900
16,0,0,0.5356017720579371,concat_hg,kmeans,k-means,dB,home,1266,900
16,0,1,0.5292672423458136,concat_hg,kmeans,k-means,dB,home,1266,900
16,0,2,0.5695908253405002,concat_hg,kmeans,k-means,dB,home,1266,900
16,0,3,0.5685834928716897,concat_hg,kmeans,k-means,dB,home,1266,900
16,1,0,0.5620668491696297,concat_hg,kmeans,k-means,dB,home,1266,900
16,1,1,0.5442411997068497,concat_hg,kmeans,k-means,dB,home,1266,900
16,1,2,0.5982612037306091,concat_hg,kmeans,k-means,dB,home,1266,900
16,1,3,0.5916823558334705,concat_hg,kmeans,k-means,dB,home,1266,900
16,2,0,0.5175934965428397,concat_hg,kmeans,k-means,dB,home,1266,900
16,2,1,0.5149655918327172,concat_hg,kmeans,k-means,dB,home,1266,900
16,2,2,0.5484320407033407,concat_hg,kmeans,k-means,dB,home,1266,900
16,2,3,0.5404765957127386,concat_hg,kmeans,k-means,dB,home,1266,900
16,3,0,0.52222656691675,concat_hg,kmeans,k-means,dB,home,1266,900
16,3,1,0.5280861609341223,concat_hg,kmeans,k-means,dB,home,1266,900
16,3,2,0.5671990467529218,concat_hg,kmeans,k-means,dB,home,1266,900
16,3,3,0.5497313988480718,concat_hg,kmeans,k-means,dB,home,1266,900
18,0,0,0.5467392324514253,concat_hg,kmeans,k-means,dB,home,1266,900
18,0,1,0.5396178489629224,concat_hg,kmeans,k-means,dB,home,1266,900
18,0,2,0.5887508272713899,concat_hg,kmeans,k-means,dB,home,1266,900
18,0,3,0.5790154209306013,concat_hg,kmeans,k-means,dB,home,1266,900
18,1,0,0.5711153152445625,concat_hg,kmeans,k-means,dB,home,1266,900
18,1,1,0.5731523377520522,concat_hg,kmeans,k-means,dB,home,1266,900
18,1,2,0.6046370082071895,concat_hg,kmeans,k-means,dB,home,1266,900
18,1,3,0.5955392852758865,concat_hg,kmeans,k-means,dB,home,1266,900
18,2,0,0.5315307418911719,concat_hg,kmeans,k-means,dB,home,1266,900
18,2,1,0.5280137915629033,concat_hg,kmeans,k-means,dB,home,1266,900
18,2,2,0.5676669987692777,concat_hg,kmeans,k-means,dB,home,1266,900
