k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,0,7,7,7,4,7,7,7,7,7,0,7,0,7,7,7,7,7,7,4,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,14,14,14,14,14,0,7,7,7,7,7,7,0,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,0,7,7,7,4,7,7,7,7,0,0,7,10,7,7,10,4,4,4,4,0,4,7
0,0,0,7,0,0,0,4,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,7,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,7,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,2,2,2,2,0,2,5,5,2,14,5,5,5,14,5,14,14,5,5,5,5,14,5,5,29
0,0,0,0,0,0,0,7,1,1,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,14,0,7,0,7,7,7,7,7,7,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,14,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
