condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,7,70.0,100.0,70-100Hz,6,ersp,0.0009303269277955672,0.0009303269277955672
audio,7,70.0,100.0,70-100Hz,7,ersp,0.0007933994519416098,0.0007933994519416098
audio,7,70.0,100.0,70-100Hz,8,ersp,0.0006423260938225045,0.0006423260938225045
audio,7,70.0,100.0,70-100Hz,9,ersp,0.00077637843934983,0.00077637843934983
audio,7,70.0,100.0,70-100Hz,10,ersp,0.0003844359717543598,0.0003844359717543598
audio,7,70.0,100.0,70-100Hz,11,ersp,0.0004907341953870567,0.0004907341953870567
audio,7,70.0,100.0,70-100Hz,12,ersp,0.0003166236577361195,0.0003166236577361195
audio,7,70.0,100.0,70-100Hz,13,ersp,0.0005438838787726112,0.0005438838787726112
audio,7,70.0,100.0,70-100Hz,14,ersp,0.001042663872012101,0.001042663872012101
audio,7,70.0,100.0,70-100Hz,15,ersp,0.000891366193140352,0.000891366193140352
audio,7,70.0,100.0,70-100Hz,16,ersp,0.0006926570958246522,0.0006926570958246522
audio,7,70.0,100.0,70-100Hz,17,ersp,0.00030942996970924916,0.00030942996970924916
audio,7,70.0,100.0,70-100Hz,18,ersp,0.0003800037405737381,0.0003800037405737381
audio,7,70.0,100.0,70-100Hz,19,ersp,0.0005965645052534649,0.0005965645052534649
audio,7,70.0,100.0,70-100Hz,20,ersp,0.0011602089216291459,0.0011602089216291459
audio,7,70.0,100.0,70-100Hz,21,ersp,0.0005552391863841843,0.0005552391863841843
audio,7,70.0,100.0,70-100Hz,22,ersp,0.0007020830310631865,0.0007020830310631865
audio,7,70.0,100.0,70-100Hz,23,ersp,0.0005103780567706874,0.0005103780567706874
audio,7,70.0,100.0,70-100Hz,24,ersp,0.0007517254051503401,0.0007517254051503401
audio,7,70.0,100.0,70-100Hz,25,ersp,0.0005204071750273525,0.0005204071750273525
audio,7,70.0,100.0,70-100Hz,26,ersp,0.0006309844739748752,0.0006309844739748752
audio,7,70.0,100.0,70-100Hz,27,ersp,0.0005081640570518384,0.0005081640570518384
audio,7,70.0,100.0,70-100Hz,28,ersp,0.0009662012807189195,0.0009662012807189195
audio,7,70.0,100.0,70-100Hz,29,ersp,0.0008143037980328023,0.0008143037980328023
audio,8,100.0,130.0,100-130Hz,0,ersp,0.0020387427520902,0.0020387427520902
audio,8,100.0,130.0,100-130Hz,1,ersp,0.005803172834820387,0.005803172834820387
audio,8,100.0,130.0,100-130Hz,2,ersp,0.003184727184120705,0.003184727184120705
audio,8,100.0,130.0,100-130Hz,3,ersp,0.00486436561349281,0.00486436561349281
audio,8,100.0,130.0,100-130Hz,4,ersp,0.0034861275955636304,0.0034861275955636304
audio,8,100.0,130.0,100-130Hz,5,ersp,0.006812678689667188,0.006812678689667188
audio,8,100.0,130.0,100-130Hz,6,ersp,0.004340812823110092,0.004340812823110092
audio,8,100.0,130.0,100-130Hz,7,ersp,0.0013233913538133837,0.0013233913538133837
audio,8,100.0,130.0,100-130Hz,8,ersp,0.0017252783458183694,0.0017252783458183694
audio,8,100.0,130.0,100-130Hz,9,ersp,0.0009409074054562888,0.0009409074054562888
audio,8,100.0,130.0,100-130Hz,10,ersp,0.0006678955859834757,0.0006678955859834757
audio,8,100.0,130.0,100-130Hz,11,ersp,0.0005896226252132691,0.0005896226252132691
audio,8,100.0,130.0,100-130Hz,12,ersp,0.0004405917228341433,0.0004405917228341433
audio,8,100.0,130.0,100-130Hz,13,ersp,0.00020219645890781824,0.00020219645890781824
audio,8,100.0,130.0,100-130Hz,14,ersp,0.00044888900865164554,0.00044888900865164554
audio,8,100.0,130.0,100-130Hz,15,ersp,0.0005273692460612267,0.0005273692460612267
audio,8,100.0,130.0,100-130Hz,16,ersp,0.00021161014781457093,0.00021161014781457093
audio,8,100.0,130.0,100-130Hz,17,ersp,0.0003694273773030852,0.0003694273773030852
audio,8,100.0,130.0,100-130Hz,18,ersp,0.00043817093423852225,0.00043817093423852225
audio,8,100.0,130.0,100-130Hz,19,ersp,0.0006616100020995665,0.0006616100020995665
audio,8,100.0,130.0,100-130Hz,20,ersp,0.00044977258233151046,0.00044977258233151046
audio,8,100.0,130.0,100-130Hz,21,ersp,0.000394403800548577,0.000394403800548577
audio,8,100.0,130.0,100-130Hz,22,ersp,0.0007165598661806393,0.0007165598661806393
audio,8,100.0,130.0,100-130Hz,23,ersp,0.0003768120754574435,0.0003768120754574435
audio,8,100.0,130.0,100-130Hz,24,ersp,0.0006868286116599048,0.0006868286116599048
audio,8,100.0,130.0,100-130Hz,25,ersp,0.0003837630298230588,0.0003837630298230588
audio,8,100.0,130.0,100-130Hz,26,ersp,0.0006888681153520408,0.0006888681153520408
audio,8,100.0,130.0,100-130Hz,27,ersp,0.0004517128254475604,0.0004517128254475604
audio,8,100.0,130.0,100-130Hz,28,ersp,0.0003836214211783689,0.0003836214211783689
audio,8,100.0,130.0,100-130Hz,29,ersp,0.0005683032711958092,0.0005683032711958092
audio,9,130.0,170.0,130-170Hz,0,ersp,0.0012641911706079228,0.0012641911706079228
audio,9,130.0,170.0,130-170Hz,1,ersp,0.002450804245745483,0.002450804245745483
audio,9,130.0,170.0,130-170Hz,2,ersp,0.0010664098699798483,0.0010664098699798483
audio,9,130.0,170.0,130-170Hz,3,ersp,0.001440183135023485,0.001440183135023485
audio,9,130.0,170.0,130-170Hz,4,ersp,0.0010704687205513,0.0010704687205513
audio,9,130.0,170.0,130-170Hz,5,ersp,0.0006593452027036576,0.0006593452027036576
audio,9,130.0,170.0,130-170Hz,6,ersp,0.0008935912035492892,0.0008935912035492892
audio,9,130.0,170.0,130-170Hz,7,ersp,0.0008448057364930839,0.0008448057364930839
audio,9,130.0,170.0,130-170Hz,8,ersp,0.0006441860478204324,0.0006441860478204324
audio,9,130.0,170.0,130-170Hz,9,ersp,0.0004487316588579709,0.0004487316588579709
audio,9,130.0,170.0,130-170Hz,10,ersp,0.0008473527616594712,0.0008473527616594712
audio,9,130.0,170.0,130-170Hz,11,ersp,0.00046506226310664923,0.00046506226310664923
audio,9,130.0,170.0,130-170Hz,12,ersp,0.0006764482781520205,0.0006764482781520205
audio,9,130.0,170.0,130-170Hz,13,ersp,0.000672785084509143,0.000672785084509143
audio,9,130.0,170.0,130-170Hz,14,ersp,0.00045862200052805823,0.00045862200052805823
audio,9,130.0,170.0,130-170Hz,15,ersp,0.0006472078486627549,0.0006472078486627549
audio,9,130.0,170.0,130-170Hz,16,ersp,0.00038439717432318173,0.00038439717432318173
audio,9,130.0,170.0,130-170Hz,17,ersp,0.00017872010567958438,0.00017872010567958438
audio,9,130.0,170.0,130-170Hz,18,ersp,0.0008319377669068306,0.0008319377669068306
audio,9,130.0,170.0,130-170Hz,19,ersp,0.00044907816348886876,0.00044907816348886876
audio,9,130.0,170.0,130-170Hz,20,ersp,0.00041818811026721604,0.00041818811026721604
audio,9,130.0,170.0,130-170Hz,21,ersp,0.0004980759870489706,0.0004980759870489706
audio,9,130.0,170.0,130-170Hz,22,ersp,0.0006145389021447776,0.0006145389021447776
audio,9,130.0,170.0,130-170Hz,23,ersp,0.00037088501910580526,0.00037088501910580526
audio,9,130.0,170.0,130-170Hz,24,ersp,0.0004258786872003262,0.0004258786872003262
audio,9,130.0,170.0,130-170Hz,25,ersp,0.0003295150961778276,0.0003295150961778276
audio,9,130.0,170.0,130-170Hz,26,ersp,0.00033445212514303683,0.00033445212514303683
audio,9,130.0,170.0,130-170Hz,27,ersp,0.00020720072970251892,0.00020720072970251892
audio,9,130.0,170.0,130-170Hz,28,ersp,0.0004192090873221476,0.0004192090873221476
audio,9,130.0,170.0,130-170Hz,29,ersp,0.0006455758222775406,0.0006455758222775406
audio,10,170.0,220.0,170-220Hz,0,ersp,0.0005351619797264934,0.0005351619797264934
audio,10,170.0,220.0,170-220Hz,1,ersp,0.0020436001908346315,0.0020436001908346315
audio,10,170.0,220.0,170-220Hz,2,ersp,0.0013029318440352785,0.0013029318440352785
