k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
2,2,2,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,21,2,21,21,21,21,9
4,4,6,6,6,6,6,6,6,6,6,10,6,10,10,10,10,15,6,15,6,21,21,21,21,9
4,4,6,6,3,6,6,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
1,1,1,1,1,3,3,1,1,3,5,3,0,5,8,5,5,5,6,3,5,3,3,3,3,3
1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,21,2,21,21,21,21,9
2,0,0,0,2,2,2,1,2,10,12,12,12,1,12,12,12,12,2,21,12,21,21,21,21,9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,2,21,21,21,21,9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,2,21,21,21,21,9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,2,21,21,21,21,9
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
1,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,3,3,3,3,3
4,4,6,6,6,6,6,6,6,6,6,6,6,3,3,6,6,6,6,3,3,3,3,3,3,3
3,3,3,1,1,3,3,1,1,3,5,3,0,5,8,5,5,5,3,3,5,3,3,3,3,3
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
1,2,3,2,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,21,17,21,21,21,21,9
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
2,2,3,7,4,6,6,1,1,1,1,1,1,1,1,1,1,1,22,22,22,24,22,22,22,22
1,1,1,1,1,1,1,1,1,1,1,1,0,1,8,5,5,5,22,22,22,22,22,24,24,24
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,22,22,22,22,24,24,24
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,22,22,22,22,24,24,24
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,22,22,22,22,24,24,24
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,22,22,22,22,24,24,24
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
2,0,3,0,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,21,21,21,21,9
0,0,0,4,8,8,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,28,28
2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,2,21,21,21,21,9
4,2,2,2,6,6,6,6,6,1,2,2,2,6,6,6,2,2,2,21,2,21,21,21,21,9
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
1,1,1,1,1,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,0,0,0,10,4,4,15,4,17,17,15,15,4,15,4,14,15,14,15,10,10
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,22,5,22,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
3,4,4,3,8,3,3,3,10,4,4,10,4,10,10,10,10,15,15,15,14,15,14,15,10,10
1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17
1,1,1,1,1,1,8,8,8,8,5,8,0,14,8,7,7,21,21,5,21,5,5,25,5,5
1,1,1,1,1,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,24,6,22,22,22
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,3,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,0,8,8,8,8,14,8,8,14,7,7,7,21,21,17,21,17,17,25,17,17
1,1,4,3,1,3,3,3,3,8,5,10,0,5,8,5,5,15,15,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
3,3,4,3,3,3,8,8,8,8,14,8,4,14,7,7,7,21,21,10,21,14,25,25,15,12
1,1,1,1,1,3,3,3,3,3,5,10,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,3,3,3,3,3,5,3,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,3,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
4,4,6,6,1,6,6,6,6,6,6,1,6,6,6,6,6,6,6,22,24,14,6,22,22,12
1,1,1,1,1,3,3,3,3,3,5,3,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,22,22,22,22,24,24,24
4,4,6,3,8,0,0,10,10,4,4,4,4,15,15,15,15,4,15,4,14,15,14,15,10,10
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
3,3,3,7,4,0,0,0,0,0,0,15,15,17,7,7,7,21,21,14,21,25,26,25,25,14
1,1,4,1,1,1,1,1,12,12,12,15,12,17,17,12,12,12,12,12,17,12,17,12,17,17
1,1,1,1,1,1,1,1,1,8,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
4,4,4,6,1,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,4,3,8,3,3,3,3,12,3,10,3,10,10,10,17,17,12,15,17,12,12,12,28,28
1,1,4,1,1,3,3,3,3,3,3,8,3,14,7,7,7,21,21,5,21,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,22,5,21,5,5,5,5,5
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,7,1,1,1,1,2,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
0,0,5,5,8,8,10,10,12,12,12,12,12,12,12,12,20,20,20,20,20,20,20,20,20,20
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,0,0,4,2,2,2,10,10,10,10,14,14,2,14,14,14,14,14,23,7,23,23,26,26,23
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,0,0,4,2,2,2,2,2,10,10,14,14,2,14,14,14,20,20,23,20,20,23,20,20,20
2,0,0,4,2,2,2,2,2,10,10,14,14,2,14,14,20,20,20,20,20,20,20,20,20,20
2,0,0,4,2,2,2,2,2,10,10,14,14,2,14,14,14,7,7,23,7,7,23,26,26,7
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,7,4,7,7,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,7,7,7,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
3,3,4,3,3,0,10,3,0,0,0,0,15,0,0,8,8,8,8,8,8,8,8,8,8,8
2,0,0,4,2,2,2,2,2,2,10,14,14,2,14,14,14,14,14,23,23,23,23,26,23,23
0,3,4,3,8,8,10,10,10,4,8,0,5,0,0,8,8,8,8,8,8,8,8,8,8,8
2,2,3,7,4,2,2,2,2,13,13,14,14,2,14,14,14,7,7,23,24,24,23,22,22,22
3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,7,21,21,9
4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,0,0,4,2,2,2,2,2,10,10,14,14,2,14,14,14,14,7,23,23,23,23,26,23,23
2,0,0,4,2,2,2,2,2,10,10,14,14,2,14,14,14,18,18,23,23,18,23,26,26,23
2,0,0,0,2,2,2,7,7,10,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18
2,0,0,0,2,2,2,7,7,10,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18
2,0,0,0,2,2,2,7,7,2,7,7,7,7,18,18,18,7,7,2,7,7,18,18,18,7
2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,7,7,7,26,26,2
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,0,0,5,2,8,10,10,7,10,7,7,7,7,18,18,20,20,18,20,18,18,18,18,18,18
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,3,3,28
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,0,3,0,0,2,0,7,7,7,7,7,7,7,18,18,18,18,18,18,8,18,8,8,8,8
0,0,5,0,0,5,5,7,7,5,7,7,7,7,18,18,18,19,19,18,8,8,18,8,8,7
4,4,0,4,8,8,10,10,10,4,4,14,4,2,14,14,10,14,15,15,14,23,14,14,14,10
2,0,4,4,8,8,10,10,10,4,4,14,4,0,14,14,8,8,15,8,14,15,14,15,10,10
2,0,0,0,2,2,2,7,7,10,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18
0,5,5,0,5,5,5,7,7,5,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18
2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,7,7,7,23
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,10,14,14,2,14,14,14,14,14,23,23,23,7,7,7,23
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7
2,0,0,0,2,2,2,7,7,10,7,7,7,7,18,18,18,7,7,18,7,7,23,26,26,7
3,3,3,3,3,0,0,0,0,0,0,0,15,0,0,8,8,8,8,8,8,8,8,8,8,8
2,2,2,7,4,4,4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2,2,2,7,4,9,9,11,9,11,11,11,11,9,11,0,0,0,0,0,0,0,0,0,0,0
2,2,5,7,4,5,5,5,5,5,8,5,5,8,5,0,0,0,0,0,0,0,0,0,0,0
1,5,3,7,0,7,7,11,5,7,11,5,11,11,11,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,2,3,7,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,0,0,0,10,4,4,4,4,15,15,15,15,4,15,4,7,15,15,15,10,15
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,7,4,7,7,11,11,2,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
2,2,2,7,4,7,7,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
2,2,2,7,4,7,7,2,2,2,2,2,2,11,2,0,0,0,0,0,0,0,0,0,0,0
2,2,2,7,4,7,7,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
2,2,2,7,4,7,7,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,7,4,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,7,4,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,2,3,7,4,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,0,0,0,0,0,0,15,15,17,17,3,3,3,0,0,0,0,0,0,0,0
3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,0,3,0,0,0,0,0,0
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,3,7,3,0,0,0,0,0,0,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0
3,3,4,3,3,0,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,17,3,3,17
3,4,4,3,8,3,3,3,3,3,3,10,3,10,10,10,10,15,3,15,3,3,3,3,3,3
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
1,1,1,1,0,1,1,1,1,7,5,1,0,5,8,5,5,5,5,5,5,5,5,5,5,5
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
0,5,5,5,5,5,5,5,5,5,8,5,5,8,5,19,19,19,19,19,19,19,19,19,19,19
3,3,6,3,3,0,0,10,10,4,4,4,4,15,15,15,15,4,15,4,4,4,14,15,10,10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
3,3,4,3,8,8,10,10,10,4,4,4,4,15,15,15,15,4,15,4,4,4,15,15,10,15
4,4,6,6,1,8,10,1,12,12,1,12,1,1,1,1,1,1,1,1,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
4,4,6,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
2,0,0,4,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,5,1,5,1,1,1,1,1,1,5,5,5,5
1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
4,4,1,1,8,8,10,10,12,12,12,12,12,1,1,1,1,1,12,1,1,12,4,4,4,4
3,3,4,3,8,8,10,3,10,4,4,0,4,0,0,8,8,8,8,8,4,4,8,8,8,8
2,2,0,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,14,23,23,23,1,1,1,23
3,3,4,3,8,8,10,3,10,4,4,4,4,0,0,15,15,4,4,4,4,4,24,27,27,27
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
