sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
94,3,1,2,1,7,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
95,4,3,1,7,6,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
96,3,1,2,1,2,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
97,3,1,3,5,2,2,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
98,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
99,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
100,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
101,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
102,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
103,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
104,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
105,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
106,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
107,3,1,2,5,2,2,0,8,12,9,11,0,8,10,8,5,0,20,5,9,4,9,24,17,6,4
108,3,1,2,5,2,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
109,3,1,1,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
110,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
111,3,1,2,1,2,2,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
112,3,1,2,5,7,2,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
113,3,1,1,5,6,2,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
114,4,3,1,7,6,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
115,4,3,1,7,6,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
116,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
117,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
118,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
