band_idx,band_lo,band_hi,band,time_bin,kind,coef[audio],coef[picture],coef[reading],importance
2,8.0,13.0,8-13Hz,16,ersp,-0.05797334236411242,0.07756461273997764,-0.019591270375865145,0.05170974182665173
2,8.0,13.0,8-13Hz,17,ersp,0.034093643373007666,-0.017423898666913507,-0.016669744706094093,0.022729095582005088
2,8.0,13.0,8-13Hz,18,ersp,0.023024813151449466,-0.03776753875022823,0.014742725598778794,0.02517835916681883
2,8.0,13.0,8-13Hz,19,ersp,-0.008330328063245147,-0.007909671866376014,0.016239999929621194,0.010826666619747452
2,8.0,13.0,8-13Hz,20,ersp,0.0033049142332580053,0.0079164575010424,-0.011221371734300262,0.007480914489533555
2,8.0,13.0,8-13Hz,21,ersp,0.020934919326081027,-0.018189133081355488,-0.0027457862447255086,0.013956612884054009
2,8.0,13.0,8-13Hz,22,ersp,0.04160865592479126,0.04956026832565068,-0.09116892425044194,0.060779282833627955
2,8.0,13.0,8-13Hz,23,ersp,0.0281641322835281,0.021512931468319788,-0.0496770637518479,0.033118042501231924
2,8.0,13.0,8-13Hz,24,ersp,0.0039018030762635963,0.01879373213933478,-0.02269553521559851,0.015130356810398963
2,8.0,13.0,8-13Hz,25,ersp,-0.023768088166462996,0.04202316939416002,-0.018255081227696958,0.02801544626277332
2,8.0,13.0,8-13Hz,26,ersp,0.040295233107400505,0.006129033656644759,-0.04642426676404523,0.030949511176030165
2,8.0,13.0,8-13Hz,27,ersp,-0.018419473099307294,-0.037203239917369,0.0556227130166763,0.0370818086777842
2,8.0,13.0,8-13Hz,28,ersp,0.029217556964041044,0.028705780420284814,-0.05792333738432575,0.0386155582562172
2,8.0,13.0,8-13Hz,29,ersp,-0.0025019988040244734,-0.05539123255436685,0.0578932313583913,0.03859548757226087
3,13.0,20.0,13-20Hz,0,ersp,-0.04960231256572509,0.02443660153830698,0.025165711027418033,0.033068208377150035
3,13.0,20.0,13-20Hz,1,ersp,-0.05718492055727452,-0.006000536868626831,0.06318545742590144,0.04212363828393426
3,13.0,20.0,13-20Hz,2,ersp,-0.11990204050462817,0.10107942205878293,0.01882261844584512,0.07993469366975207
3,13.0,20.0,13-20Hz,3,ersp,-0.08293297113597632,0.004886035724421011,0.07804693541155555,0.055288647423984295
3,13.0,20.0,13-20Hz,4,ersp,-0.005960270884075251,-0.0408344277465372,0.04679469863061241,0.03119646575374162
3,13.0,20.0,13-20Hz,5,ersp,0.018402229773173726,-0.051040815795206834,0.03263858602203315,0.0340272105301379
3,13.0,20.0,13-20Hz,6,ersp,0.03981919551116637,-0.01882537184891765,-0.020993823662248744,0.026546130340777584
3,13.0,20.0,13-20Hz,7,ersp,-0.004536495871620943,-0.05513989228817184,0.05967638815979281,0.0397842587731952
3,13.0,20.0,13-20Hz,8,ersp,-0.04938620039432621,0.014906374849252118,0.034479825545074144,0.03292413359621749
3,13.0,20.0,13-20Hz,9,ersp,-0.07845933636374651,0.012514154102548792,0.06594518226119771,0.052306224242497666
3,13.0,20.0,13-20Hz,10,ersp,-0.08594682100639324,0.013470239443510274,0.07247658156288303,0.05729788067092886
3,13.0,20.0,13-20Hz,11,ersp,-0.09872805502573469,-0.018002586043174118,0.1167306410689088,0.07782042737927254
3,13.0,20.0,13-20Hz,12,ersp,-0.02069435822901492,0.019228241763652044,0.0014661164653629113,0.013796238819343292
3,13.0,20.0,13-20Hz,13,ersp,0.10245615099265182,-0.003994856526302408,-0.09846129446634927,0.06830410066176783
3,13.0,20.0,13-20Hz,14,ersp,0.07812415330039729,0.08721572456639208,-0.1653398778667893,0.11022658524452622
3,13.0,20.0,13-20Hz,15,ersp,-0.02086736447078018,0.060154317941280094,-0.03928695347049988,0.04010287862752005
3,13.0,20.0,13-20Hz,16,ersp,-0.020610290291277554,0.05376767993691934,-0.03315738964564178,0.035845119957946224
